abandoned	заброшенный
contend	бороться, соперничать
contented	удовлетворенный (не satisfied) 
contents	содержание, содержимое, оглавление
content	содержание
contest	спор, соревнование, спорить
context	контекст, ситуация
continental	континентальный
continent	континент
continually	непрерывно
continual	беспрестанный
continuation	продолжение
continued	продолжал (от continue)
continue	продолжать(ся)
continuous	непрерывный
contract	договор, контракт
contradict	опровергать, противоречить
contrary	противоположный (не opposite)
contrast	противоположность, контраст
contribute	делать вклад, способствовать
contribution	вклад
contributor	сотрудник
contrivance	изобретение, приспособление
contrived	изобретенный 
control	контроль, управление
convalesce	выздоравливать
conveniences	удобства (от convenience)
convenience	удобство
convenient	подходящий, удобный
conventional	обычный, обусловленный
convention	собрание, съезд
conversation	разговор, беседа
conversion	превращение, обращение
converted	преобразованный(конвертированный) 
convert	превращать, обращать, конвертировать
conveyed	переданный 
convey	перевозить, передавать, сообщать
conviction	осуждение, убеждение, убежденность
convict	признать виновным, осудить
convinced	убежденный
convince	убеждать
convincing	убедительный
con	подставить 
cooked	готовил (от cook)
cook	готовить, повар
cooler	холоднее (от cool)
cooling	охлаждение
coolly	прохладно 
coolness	прохлада, хладнокровие
cool	прохладный, холодный
cooperative	кооперативный
cope	справиться, совладать
copies	копии 
copper	медь
copyright	авторское право
copy	копия, копировать
coral	коралл 
cordial	сердечный
cord	шнур
core	сущность, суть
cork	поплавок
corners	углы 
corner	угол
corn	кукуруза
correction	исправление
correctly	правильно, верно
correct	исправлять, правильный
correlation	корреляция 
correspondence	корреспонденция, переписка
corresponding	соответственный, соответствующий
corridor	коридор
corruption	продажность
corrupt	испорченный, развращенный, продажный
cosmetic	косметический
costume	костюм
cost	стоить, стоил
cosy	уютный
cottage	коттедж
cotton	хлопок, хлопчатобумажный
couch	кушетка
cough	кашель
could	мог, могли (бы)
councilman	член совета 
council	совет, совещание (не counsel)
counsel	обсуждение, совет, решение, адвокат
countenance	самообладание(лицо) 
counteract	противодействовать (не contradict)
counter	прилавок, противостоять, противиться
countless	бесчисленный
countries	страны (от country)
countryside	сельская местность
country	страна
county	графство
count	считать, принимать во внимание
couple	пара
courageous	смелый, отважный
courage	мужество, смелость
course	курс, блюдо
courtyard	двор
court	корт, двор
cousins	кузены ((!NEW!))
cousin	двоюродный брат
covering	покрытие 
cover	покрывало, крышка
cove	сооружать
cowardly	трусливый, малодушный
coward	трус
cow	корова
co	компания 
crab	краб
cracker	печенье, хлопушка
crackle	хрустеть, потрескивать
crack	попытка, проба, трещина
cradle	колыбель, убаюкивать
craftsman	ремесленник
craft	искусство, судно
cram	запихивать, пичкать, учить наспех, натаскивать (к экзаменам)  ( не poke)
crane	журавль, подъемный кран
cranny	скважина, трещина
crashed	потерпел крах 
crash	потерпеть крах, потерпеть крушение
crawford	кравфорд 
crawled	ползал (не от слова creep) 
crawl	ползать (не creep)
crazy	безумный
creak	скрип, скрипеть
cream	сливки, крем
created	созданный 
create	создавать
creating	создание
creation	создание (похоже на creature)
creator	творец, создатель, автор
creatures	существа 
creature	творение, создание
credentials	верительные грамоты, рекомендация
credit	кредит
creeper	вьющееся растение
creeping	ползающий 
creep	ползать, выползать
crept	ползал ((!NEW!))
crescent	полумесяц
crest	гребешок, хохолок, гребень (волны, горы)
crevice	трещина, расщелина
crew	судовая команда, экипаж
cricket	крикет (спорт.)
cries	крики 
crime	преступление, преступность
criminal	преступник, уголовный
crimson	алый, малиновый (не scarlet)
cringe	раболепствовать
cripple	калечить, уродовать (не destroy, disable)
crisis	кризис, перелом (в ходе болезни)
crisp	хрустящий картофель
critical	критический
criticism	критика
criticize	критиковать
crocodile	крокодил
crooked	кривой
crook	крюк, крючок, поворот
crop	урожай
crossing	переход, пересечение
cross	пересекать
crouched	присел 
crouch	притаиться
crowded	многолюдный
crowd	толпа, толпиться
crown	корона
crow	ворона
crude	сырой, необработанный
cruelty	жестокость
cruel	жестокий, беспощадный
cruise	морское путешествие
crumble	крошить(ся)
crumb	крошка
crushed	сокрушенный 
crust	корка, кора
crying	кричащий
crystal	хрусталь
cry	кричать, восклицать
cubic	кубический
cub	детеныш (зверя)
cuckoo	кукушка
cucumbers	огурцы (от cucumber)
cucumber	огурец
cuff	наручники, лёгкий удар
culprit	обвиняемый, преступник (не accused)
cultivated	выращенный 
cultivate	обрабатывать
cultivation	культивирование 
cunning	хитрость, хитрый, коварный
cupboard	буфет
cupboard	буфет
Cups	чашки (от cup)
cup	чашка
cup	чашка
curb	сдерживать
curdle	свертываться (о молоке)
cure	лекарство, лечить
curiosity	любопытство, редкая вещь
curiously	странно (не strangely) ((!NEW!))
curious	любознательный
curled	вился 
curls	завитки 
curl	виться, завивать(ся); локон, завиток
currant	коринка, смородина
currently	в настоящее время 
current	течение, ток
curse	проклятие
cursor	курсор 
curtains	занавески ((!NEW!))
curtain	занавеска, занавес
curt	краткий, сжатый, грубый
curvature	искривление 
curved	изогнутый 
curve	изгиб, гнуть
cushion	подушка
customary	обычный
customer	клиент
custom	обычай
cute	изящный, прелестный
cutting	сокращение, урезание
cut	разрез, фасон (стрижки волос)
cycle	цикл, период
cyclist	велосипедист
czar	царь
dad	папа, отец
dagger	кинжал
daily	ежедневно
dainty	лакомство, деликатес
dairy	молочный магазин
daisy	маргаритка
dalton	далтон 
damage	повреждать, причинять ущерб
dame	дама, пожилая женщина (не lady)
damp	сырой, влажный
dam	дамба, плотина
danced	танцевал (от dance)
dance	танцевать
dancing	танцы
dandy	нарядный, великолепный
dangerous	опасный
dangers	опасности 
danger	опасность
dangle	качаться, подвешивать
Dan	дэн 
darcy	дарси 
dared	осмелившийся ((!NEW!))
dare	сметь, отважиться
daring	смелость, отвага; смелый, отважный
darkened	затемненный
darker	более темный 
darkness	темнота, мрак
dark	темный, печальный
darling	любимый, дорогой
darn	штопать
darted	брошенный (не dashed) 
darwin	дарвин 
dashed	брошенный ((!NEW!))
dash	оттолкнуть, отбросить
databases	базы данных 
database	база данных 
data	данные, факты
dates	даты (от date)
date	дата
daughters	дочери (от daughter)
daughter	дочь
David	дэвид 
dawn	рассвет, светать
daybreak	рассвет
daylight	дневной свет
days	дни (от day)
daytime	дневное время
day	день
dazed	ошеломленный
deadlock	тупик, безвыходное положение
deadly	смертельно
dead	мертвый
deaf	глухой
dealing	раздачаv
deal	значительное количество
dean	декан
dearest	дорогой (не darling) 
dear	дорогой
death	смерть
debate	дебаты, спор, полемика
debris	обломки, развалины
debts	долги (от debt)
debt	долг
decay	гниение, разложение
deceived	обманутый ((!NEW!))
deceive	обманывать
December	декабрь
decency	приличие, благопристойность
decent	приличный, скромный
deception	обман, хитрость
deceptive	обманчивый
decidedly	определённо, точно, бесспорно (не doubtless) ((!NEW!))
decided	решил (от decide)
decide	решать
decimal	десятичный, десятичная дробь
decipher	расшифровывать
decision	решение
decisive	решающий
deck	палуба
declaration	декларация
declared	объявленный 
declare	декларировать
declined	отклоненный
decline	опускаться, уменьшаться, убывать
decorate	украшать
decoy	западня, приманка; заманивать в ловушку
decrease	уменьшать, уменьшить
decree	декрет, указ; издавать декрет; постановлять
decrepit	ветхий, дряхлый
dedicate	посвящать, посвятить
deduction	вычитание, вычет, удержание, вывод, заключение
deed	подвиг, дело
deeper	глубже 
deeply	глубоко
deep	глубокий
deer	олень, лань
default	неплатеж, невыполнение обязательств 
defeated	побеждённый ((!NEW!))
defeat	поражение
defective	неисправный, недостаточный, неполноценный, дефективный
defect	недостаток, недочет
defence	оборона, защита
defender	защитник, чемпион (не champion)
defend	защищать, оборонять
defense	оборона ((!NEW!))
defensive	оборонительный, оборона
defiance	неповиновение, пренебрежение
defiant	вызывающий, дерзкий
deficiency	недостаток, дефицит
defined	определенный 
define	определять, устанавливать
definitely	определенно 
definite	определенный, точный
definition	определение
defy	действовать наперекор
degrade	понижать, разжаловать
degree	степень, звание
deity	божество
dejected	удрученный, угнетенный
delayed	отложен (от delay)
delay	отсрочка
delete	удалить 
deliberately	сознательно, обдуманно ((!NEW!))
deliberate	умышленный, обдуманный
delicacy	деликатность, тонкость, нежность (красок); хрупкость, болезненность
delicate	изящный
delicious	восхитительный, прелестный, вкусный
delighted	восхищался (от delight)
delightful	восхитительный (не marvellous)
delight	восхищение, восхищаться
delirium	бред
deliverance	освобождение, избавление
delivered	доставил (от deliver)
delivery	доставка
deliver	доставлять, передавать
deluge	наводнение, ливень
delusion	заблуждение
delve	впадина, рытвина
demanded	требовал (от demand)
demand	требовать
demolition	уничтожение
demonstrate	демонстрировать
demonstration	демонстрация
dene	долина, дюны
denial	отрицание, опровержение
denied	отклоненный 
denote	означать, обозначать
dense	густой, плотный (не bushy)
dentist	зубной врач
dentist	зубной врач
deny	отрицать, отвергать
den	берлога, притон
departed	отбыл 
departments	отделы, отделения (от department)
department	отдел
departure	отъезд, отправление
depart	отбывать, уезжать
dependant	иждивенец
depended	зависел 
dependent	зависимый, зависящий
depend	зависеть
deplore	сожалеть
deployment	развертывание
deploy	развертывать
deposit	взнос, вклад, залог, сдавать на хранение
depression	уныние, депрессия (эконом.)
deprive	лишать, отбирать
depths	глубины 
depth	глубина
deputy	депутат, делегат
derisive	насмешливый, иронический (не ironical)
derived	полученный 
descendant	потомок
descended	спускался 
descend	спускаться
descent	спуск, склон, десант, происхождение
describe	описывать
description	описание
deserted	брошенный, пустынный
deserter	дезертир
deserts	заслуги
desert	пустыня
deserved	заслуженный ((!NEW!))
deserves	заслуживает 
deserve	заслуживать
designed	предназначенный, намеренный
designer	конструктор
designs	проекты 
design	проектировать, спроектировать
desirable	желательный
desired	Желательный 
desire	желание
desk	письменный стол
desolate	покинутый, заброшенный
despair	отчаяние
desperately	отчаянно ((!NEW!))
desperate	отчаянный, безнадежный
despise	презирать
despite	несмотря на
dessert	десерт
destination	место назначения
destitute	сильно нуждающийся
destroyed	разрушенный 
destroyer	эскадренный миноносец
destroy	разрушать, уничтожать
destruction	разрушение
des	дес 
detached	отдельный
detachment	отряд
detach	отделять, посылать (воен.)
detailed	детальный, подробный
detail	деталь
detain	задерживать, удерживать
detected	обнаруженный 
detection	открытие, обнаружение
detectives	детективы 
detective	детектив(ный)
detect	открывать, обнаруживать
detention	задержание
determination	решимость, определение
determined	решительный
determine	определять, устанавливать, разрешать
detest	питать отвращение, ненавидеть
detrimental	приносящий ущерб (не destructive)
developed	развил (от develop)
developer	развивающийся (о человеке) ((!NEW!))
development	развитие
develop	развивать
device	прибор, схема, проект, прием, устройство
devil	дьявол, сатана
devoted	преданный
devote	посвящать
devotion	преданность
devour	пожирать
dew	роса
dexterity	проворство, ловкость
diagram	диаграмма, схема
dialect	диалект 
dialogue	диалог
dial	набирать номер
diameter	диаметр
diamond	алмаз, бриллиант
diana	диана 
diary	дневник
dick	дик 
dictionary	словарь
dictum	изречение, поговорка (не byword)
did	делал, действовал (от do)
died	умер, умерший (от die)
diet	диета
die	штамповать, чеканить
differences	различия 
difference	разница, различие
differently	по-другому
different	другой, отличный от
differs	отличается 
differ	различать
difficulty	препятствие, затруднение
difficult	трудный
digestion	пищеварение
digest	переваривать, усваивать, краткое изложение
digging	рытье
dignified	достойный
dignity	достоинство
dig	копать
diligence	прилежание
dime	дайм (10 центов)
dimly	смутно (не vague) ((!NEW!))
dim	тусклый, неясный, слабый (о зрении), туманный, смутный
dine	обедать
dining	обеденный
dinner	обед
din	шум, долбить
diploma	диплом, свидетельство
dipper	черпак, ковш
dip	погружать
directed	направленный 
directions	руководства(направления) 
direction	направление
directly	прямо, немедленно
directory	справочник
director	режиссер
direct	прямой, руководить
dirty	грязный
dirt	грязь
disabled	искалеченный, выведенный из строя
disable	делать непригодным (не destroy)
disadvantage	неудобство
disagreeable	неприятный
disappearance	исчезновение ((!NEW!))
disappeared	изчезнувший ((!NEW!))
disappearing	исчезновение
disappear	исчезать, исчезнуть
disappointed	разочарованный (от disappoint)
disappointing	печальный, неутешительный
disappointment	разочарование
disappoint	разочаровывать
disapproval	неодобрение
disarmament	разоружение
disarm	обезоруживать, разоружать(ся)
disaster	бедствие, несчастье
disastrous	бедственный
disbelief	недоверие
discern	различать, видеть
discharge	разряжать
discipline	дисциплина, обучение
disconnected	разъединенный
discontented	недовольный (не disagreeable)
discontent	недовольство (не unpleasure)
discourage	обескураживать
discovered	обнаруженный ((!NEW!))
discovery	открытие
discover	открывать, обнаруживать
discreet	осторожный, сдержанный
discretion	свобода действий; свободный выбор
discussed	обсуждал (от discuss)
discussing	обсуждающий, обсуждение (от discuss)
discussion	беседа
discuss	обсуждать
disc	диск
disdain	презирать, пренебрегать; презрение, пренебрежение (не neglect)
disease	болезнь
disgraceful	позорный
disgrace	позор, немилость
disguised	замаскированный ((!NEW!))
disguises	маскировки 
disguise	переодеваться, маскироваться, скрывать; маскировка
disgust	отвращение, вызывать отвращение
dishevelled	растрепанный, взъерошенный
dishonest	нечестный
dish	блюдо
disk	диск 
dislike	нелюбовь, неприязнь; не любить
dismal	мрачный, унылый (не gloomy, dreary)
dismay	ужас
dismissed	уволенный ((!NEW!))
dismiss	увольнять
dismount	спешиваться
disorder	беспорядок
disperse	рассеиваться
displayed	показанный 
display	показ, выставка
displeased	недовольный
displeasure	неудовольствие, недовольство, досада
disposal	вручение, право распоряжаться
disposed	склонный, расположенный, имеющийся под рукой (не inclined) ((!NEW!))
dispose	располагать
disposition	характер
dispute	диспут, полемика, обсуждать
disregard	пренебрегать, пренебрежение
dissolved	распущенный 
dissolve	растворять
distance	расстояние
distant	дальний, далекий
distinction	различие
distinctly	отчетливо
distinct	отдельный (не separate, detached)
distinguished	выдающийся, почетный
distinguish	отличать, различать, разделять
distracted	отвлеченный 
distract	отвлекать
distressed	обеспокоенный 
distress	горе, нужда; огорчать, расстраивать
distribute	распределять, распространять
distribution	распределение
district	район
distrust	недоверие, не доверять
disturbance	нарушение
disturbed	взбудораженный
disturb	нарушать, беспокоить
ditch	канава
ditty	песенка
dived	нырнул 
diverse	разный, различный (не various)
diver	водолаз
dive	нырять
divided	разделенный 
divide	делить, отделять
divine	божественный
diving	ныряние
division	деление
dizzy	головокружительный
dock	док, пристань
doctor	доктор, врач
doctor	доктор, врач
doctrine	доктрина 
documentation	документация 
document	документ
dodge	уловка, хитрость (не trick)
doer	исполнитель
does	делать, действовать, вспомогательный глагол (от do)
dog	собака
doing	делающий (от do)
dollars	доллары (от dollar)
dollar	доллар
dolls	куклы 
doll	кукла
domain	область 
domesticated	одомашненный 
domestic	домашний, внутренний
dome	купол
dominion	владычество, владение, доминион
donation	денежное пожертвование
done	сделанный (от do)
donkey	осел
doom	обрекать
doorway	дверной проем ((!NEW!))
door	дверь
dormitory	спальня
dorothy	дороти 
dose	доза, дозировать
dos	дос 
dots	точки 
dot	точка
double	двойной, на двоих
doubloons	дублоны 
doubly	вдвое
doubted	подвергнутый сомнению 
doubtful	сомневающийся (полон сомнений)
doubtless	несомненно
doubts	сомнения 
doubt	сомнение, сомневаться
dough	тесто
dove	голубь
downstairs	вниз, внизу, на нижнем этаже
downward	вниз, книзу
downy	пушистый
down	внизу, вниз
dozen	дюжина
doze	дремать
do	делать, действовать, вспомогательный глагол
draft	чертеж, проект
dragged	тянул 
dragon	дракон ((!NEW!))
drag	тащить
drain	вытекание
dramatic	драматический
drank	(вы)пил (от drink)
draught	сквозняк, набросок, черновик
drawers	кальсоны
drawer	чертежник
drawing	протаскивание, вытягивание, рисование, чертеж
drawn	нарисованный (от draw)
draw	рисовать
dreadfully	ужасно 
dreadful	ужасный (не terrible, horrible)
dread	страшиться, страх
dreams	мечты ((!NEW!))
dreamt	мечтал (от dream)
dream	мечтать, видеть сны
dreary	мрачный, унылый, скучный (не gloomy)
dressed	одетый
dressing	приправа
dressmaker	портниха
dress	платье, одеваться
drew	рисовал (от draw)
dried	сушеный
drift	сносить, плыть по течению
drill	дрель, тренировать
drinks	напитки (от drink)
drink	напиток, пить
drip	капать
driver	водитель, шофер
driveway	проезд ((!NEW!))
drive	водить машину, ехать на машине
driving	езда, вождение, движущий
drooping	свисающий
droop	поникать
dropped	потерянный, пролитый (не spoiled) ((!NEW!))
dropping	сбрасывающий
drops	снижения(капли) 
drop	капля, падать, ронять
drove	водил машину, ехал на машине (от drive)
drown	тонуть, топить(ся), заглушать
drowsy	сонный, дремлющий (не asleep, sleepy)
drugstore	аптека
drugstore	аптека
drug	лекарство, наркотик
drum	барабан
drunk	выпитый, пьяный (от drink)
dry	сухой
Dr	доктор 
dubious	сомнительный
duchess	герцогиня
ducked	увернулся 
ducks	утки 
duck	утка
dudley	дадли 
dues	сборы, взносы
due	должный, обязанный
dug	сиська, вымя ((!NEW!))
duke	герцог
dull	скучный
duly	должным образом
dumb	немой, бессловесный, бестолковый (амер.)
dummy	манекен, макет
dump	разгружать
dungeon	темница 
duplicate	дубликат, копия
durable	прочный
duration	продолжительность
during	во время
dusk	сумеречный, неясный, сумерки
duster	тряпка, щетка
dusty	пыльный
dust	пыль, вытирать пыль
duty	долг, обязанность, пошлина
dwarf	карлик, гном (миф.) (не gnome)
dwelling	жилье
dwell	жить
dwight	дуайт 
dyed	крашенный (от dye)
dye	красить, краска
dying	погибающий
dysentery	дизентерия
each	каждый
eagerly	охотно (не willing)
eagerness	пыл, рвение, желание
eager	нетерпеливый
eagle	орел
earlier	ранее 
earliest	самый ранний 
early	рано
earl	граф ((!NEW!))
earnestly	искренне (не sincerely) 
earnestness	серьезность (не seriousness) 
earnest	серьезный
earn	зарабатывать
earthquake	землетрясение
earth	земля
ear	ухо
easel	мольберт
ease	покой, непринужденность
easier	более легкий 
easily	легко
eastern	восточный
Easter	пасха
east	восток, восточный
easy	легкий, простой
eaten	eat (3 форма) 
eater	едок
eating	прием пищи, еда (
eat	есть (принимать пищу)
ebb	отлив, убывать
echo	эхо, отголосок
economical	бережливый, экономный
edge	край, точить
edible	съедобный
Edinburgh	Эдинбург 
edition	издание
editorial	редакционный, передовая статья (амер.)
editor	редактор
edit	редактировать
edmund	Эдмунд 
educated	образованный
educational	образовательный, воспитательный
education	образование
edward	Эдвард 
eerie	Жуткий
effected	произведенный (не produced)
effective	действующий, успешный
effects	Эффекты 
effectually	целесообразно 
effect	действие, влияние
efficiency	эффективность
efficient	эффективный
effort	усилие, напряжение
eggs	яйца (от egg)
egg	яйцо
Egypt	египет 
eighteen	восемнадцать
eighth	восьмой
eighty	восемьдесят
eight	восемь
either	или
elaborate	тщательно разработанный, подробный
elapse	проходить (о времени)
elastic	эластичный, упругий, резинка
elated	окрыленный
elbows	локти 
elbow	локоть
elderly	пожилой
elder	старший
eldest	(самый) старший
election	избрание, выборы
electricity	электричество
electric	электрический
electronic	электронный
elect	выбирать **e**
elegant	изящный
elementary	элементарный
elements	Элементы 
element	элемент, стихия
elephant	слон
elevated	поднятый 
elevate	поднимать, возвышать
elevation	возвышение 
elevator	лифт
eleven	одиннадцать
elf	Эльф 
eligible	подходящий (не suitable)
eliminate	исключать, уничтожать, ликвидировать
elinor	Элеонор 
elizabeth	Элизабет 
eliza	Элиза 
elliot	Эллиот 
eloise	Элоиза 
elongated	удлиненный 
elsewhere	в другом месте 
else	еще, кроме
elton	Эльтон 
el	Эль
embark	садиться на корабль
embarrassment	затруднение 
embarrass	смущать
embedded	вложенный 
embrace	обнимать, включать
embroidery	вышивка
emerald	изумруд
emerged	появился 
emergency	крайняя необходимость
emerge	появляться, выясняться, возникать (не appear)
eminent	выдающийся
emma	Эмма 
emotional	эмоциональный
emotions	Эмоции 
emotion	возбуждение
emperor	император
emphasis	подчеркивание, ударение, выразительность
empire	империя, господство
employed	используемый 
employee	служащий, работник
employer	наниматель
employment	служба, занятие (не occupation, profession)
employ	держать на работе, нанимать
empty	пустой
emulation	соревнование
enabled	позволил 
enable	давать возможность, делать возможным
enamel	эмаль, глазурь
encampment	лагерь
enclosed	приложенный (не embedded, attached) 
enclose	окружать
encounter	встретить, сталкиваться
encouraged	поощренный 
encouragement	ободрение
encourage	ободрять, поощрять, подстрекать
encyclopedia	энциклопедия
endanger	подвергать опасности
endeavour	попытка
ended	законченный 
ending	окончание, завершение
endlessly	нескончаемо
endless	бесконечный
endurance	выносливость, терпение (не tolerance)
endure	вынести 
end	конец
enemies	враги 
enemy	враг, противник
energy	энергия, сила
enforce	принуждать, навязывать, проводить в жизнь
engaged	занятый, помолвленный (от engage)
engagement	занятие
engage	нанимать, занимать, вовлекать (не employ)
enginedriver	машинист
engineering	техника, машиностроение, махинации
engineer	инженер
engine	двигатель, мотор, машина
England	англия
English	английский язык, английский
enhanced	увеличенный 
enhancements	повышения 
enjoyed	получил удовольствие (от enjoy)
enjoyment	удовольствие, наслаждение, обладание
enjoy	любить, получать удовольствие
enlarge	увеличивать, расширять, распространяться **l****
enlighten	просвещать
enormously	чрезвычайно
enormous	громадный, ужасный
enough	достаточный
enquired	спрашивал
enslave	порабощать
ensued	последовал 
ensure	обеспечивать, гарантировать
entangled	запутанный
entered	поступил (от enter)
entering	вступление
enterprise	предприятие, предприимчивость
enterprising	предприимчивый
entertained	развлекал 
entertainment	развлечение
entertain	развлекать, развлечь
enter	входить, поступать (enter)
enthusiasm	энтузиазм, восторг
enthusiastic	восторженный
entirely	совершенно, полностью, исключительно
entire	полный, совершенный
entitled	имеющий право 
entrance	вход
entreaty	мольба (prayment  нет такого слова)
entry	вход
enumerate	перечислять
envelope	конверт
envious	завистливый (не jealous)
environment	окружающая среда
envy	зависть, завидовать
epidemic	эпидемический, эпидемия
episode	эпизод
equality	равенство, равноправие
equally	поровну, одинаково, в равной степени
equal	равный
equator	экватор
equipment	снаряжение, оборудование
erase	стирать (резинкой)
era	эра
erect	строить (не build)
ere	до, перед, прежде чем; скорее чем 
ernest	Эрнест 
ernie	ерни 
errand	поручение
erring	грешный, заблудший
erroneous	ошибочный
errors	ошибки 
error	ошибка
err	допустить ошибку 
er	отделение (служба) экстренной медицинской помощи (Emergency Room) ((!NEW!))
escape	избежать, избегать
escort	охрана (не guards)
especially	особенно
essay	очерк
essence	сущность
essential	обязательный, существенный, важный
established	установленный
establishment	установление, учреждение, положение
establish	учреждать, создавать, утверждать
estate	поместье, имущество, сословие
estate	поместье, имущество, сословие
esteem	уважать, почитать, уважение (не regard)
estimated	предполагаемый
estimate	оценка, проект, оценивать
etc	и т.д 
eternal	вечный (не forever)
ethel	етел 
Et	и 
Eugene	Юджин 
european	европейский
Europe	европа
evaluation	оценка (не estimation)
evaporate	испаряться, выпаривать
evenings	вечерние (спектакли)
evening	вечер
eventful	полный событий, знаменательный
events	события 
eventually	в конечном счете, в конце концов
event	событие
even	даже
everybody	каждый, всякий, все
everyday	повседневный
everyone	все, каждый, всякий
everything	все
everywhere	всюду, везде
every	каждый
ever	когда-либо
evidence	доказательство
evidently	очевидно
evident	очевидный, ясный
evil	зло, злой
evolution	развитие 
exactly	точно, именно
exact	точный
examination	экзамен
examine	рассматривать, рассмотреть
examples	примеры 
example	пример, образец (не pattern)
exams	экзамены (от exam)
exam	экзамен
exasperation	раздражение, ожесточение
excavator	экскаватор
exceedingly	чрезвычайно
exceed	превышать, превосходить
excellent	превосходный, отличный
excepting	за исключением
exception	исключение
except	исключая, кроме
excessively	чрезмерно 
excess	избыток
exchanged	обменивал (от exchange)
exchange	обмен, обменивать
excitedly	взволнованно (не thrilling) 
excited	взволнованный, возбуждённый
excitement	возбуждение
excite	возбуждать, волновать
exciting	волнующий, великолепный
exclaim	восклицать
exclamation	восклицание
exclude	исключать
exclusively	исключительно
exclusive	исключительный, недоступный
excursion	экскурсия
excuse	извинять
executed	выполненный 
execute	выполнять
execution	выполнение
exercise	упражнение
exertion	напряжение, усилие
exert	напрягать(силы)
exhausted	изнуренный
exhaust	исчерпывать, истощать, выхлоп (тех.)
exhibited	показанный (не displayed) 
exhibition	выставка
exhibit	экспонат, показывать
existence	существование
existing	существующий
exists	существует 
exist	существовать, жить
exit	выход, выезд
expanded	расширенный (не extended) 
expansion	расширение, распространение
expectations	ожидания (от expectation)
expectation	ожидание
expected	предполагаемый, ожидаемый
expecting	ожидающий (от expect)
expect	ожидать
expedition	экспедиция
expelled	удаленный 
expel	изгонять, исключать
expense	расход
expensive	дорогой
experienced	опытный
experience	опыт
experimental	экспериментальный
experiments	Эксперименты 
experiment	эксперимент
expert	эксперт
explained	объяснил (от explain)
explain	объяснять
explanation	объяснение
explicit	ясный
explode	взрывать, подрывать
exploit	эксплуатировать
exploration	исследование
explore	исследовать
explosion	взрыв, вспышка
explosive	взрывчатый, взрывчатое вещество
export	экспорт, экспортировать
exposed	выставленный(подвергнутый) 
expose	выставлять, подвергать, разоблачать
exposure	подвергание 
expressing	выраженный
expression	выразительность, выражение
expressive	выразительный
express	экспресс, выражать
expulsion	изгнание (не dejection)
exquisite	изысканный
extended	растянутый
extending	распространение(продление) 
extend	продлевать, растягивать
extension	расширение
extensive	обширный
extent	протяжение
exterior	внешний, внешность, внешний вид
external	наружный
extinct	потухший (о вулкане), вымерший
extract	удалять, извлекать; экстракт, выдержка (из книги)
extraordinary	необычный
extra	сверх (не above)
extremely	крайне
extreme	чрезвычайный, крайность
extremity	конец, край, крайность, конечности
eyebrows	брови ((!NEW!))
eyebrow	бровь
eye	глаз
fable	басня, сюжет
faces	выходит, стоит лицом (от face)
face	лицо
facilitate	облегчать
facility	легкость, способность, умение
facing	сидящий лицом (от face)
fact	сущность, факт
faded	исчез 
fade	увядать
failed	потерпел неудачу, не удалось (от fail)
failing	неудача
failure	неудача
fail	недоставать, не хватать;  обмануть ожидания
faintest	малейший (от faint)
faintly	слабо (!NEW!)
faint	слабый
fairfax	фаирфакс 
fairly	довольно (не rather)
fairy	волшебный
fair	любезно, хорошо, справедливый
faithfully	искренне 
faithful	верный
faithless	ненадежный
faith	вера
fake	подделка (!NEW!)
falcon	сокол
fallen	упавший (!NEW!)
falling	падение
fall	падать
false	ложный
fame	слава, известность
familiar	близкий
family	семья
famine	голод (не hanger)
famous	известный
fancied	представлял себе 
fancy	воображать, представлять себе
fangs	клыки 
fang	клык, корень зуба, зубец
fanny	фанни 
fantastic	фантастический
fantasy	воображение
fan	болельщик, поклонник
farewell	прощание; прощайте! до свидания!
farmer	фермер
farm	ферма
farrier	кузнец 
farther	дальше
far	далеко
fascinated	очаровал (от fascinate)
fashionable	модный
fashioned	вылепленный 
fashion	мода
fastened	закрепленный (не attached) 
fasten	прикреплять
faster	быстрее
fast	спешащий, сильно, быстро (fast)
fatal	фатальный
fate	судьба
father	папа
fatigue	усталость, утомлять(ся)
fatty	жирный (!NEW!)
fat	жирный
faucet	водопроводный кран, вентиль
faults	ошибки
fault	вина, недостаток, ошибка
favorite	любимый (!NEW!)
favor	польза(покровительство) 
favourable	благоприятный
favourite	любимый
favour	одолжение, услуга, польза
fearful	страшный
fear	страх, опасение, бояться, опасаться
feasible	осуществимый
feast	пир
feathers	перья (!NEW!)
feather	предмет гордости, достижение
features	особенности 
feature	особенность, характерная черта
feat	подвиг, ловкость, искусство
February	февраль
fed	кормивший(питаемый) 
feeble	слабый, бледный
feeding	питание
feed	кормить
feelings	страсти (от feeling)
feeling	чувство, чувствующий (от feel)
feels	чувства 
feel	чувствовать
feet	ноги, ступни
fee	гонорар, платить гонорар
fellow	человек, парень, приятель
fell	упал (от fall)
felt	чувствовал (от feel)
females	Женщины 
female	женщина, самка
feminine	женский, женского рода (грам.)
fence	забор
fencing	ограждение
feral	дикий (не от слова wild) 
ferment	закваска, фермент; бродить (о вине, варенье)
