a barber; hairdressing	理发 lǐ fà 
to halt; to stop; to park (a car);	停 tíng 
to hand over; to deliver; to pay (money); to turn over; to make friends; to intersect (lines)	交 jiāo 
to hang or suspend (from a hook etc); (of a telephone call) to hang up; to be worried or concerned; to make a phone call (topolect); to register or record; to hitch; classifier for sets or clusters of objects	挂 guà 
to happen; to occur; to take place; to break out	发生 fā shēng 
to have to, to need to (particle used to express capability, possibility, degree, effect...); must; ought to; to need to	得 dé 
to hold (a meeting, ceremony etc)	举行 jǔ xíng 
to hold; to carry (in one's arms); to hug or embrace; surround; cherish	抱 bào 
toilet; lavatory; CL:间[jian1] ,处[chu4]	厕所 cè suǒ 
to invite; invitation; CL:个	邀请 yāo qǐng 
to lessen; to decrease; to reduce; to lower	减少 jiǎn shǎo 
to lift; to hold up; to cite; to enumerate; to act; to raise; to choose; to elect	举 jǔ 
to lift; to raise; (of two or more persons) to carry	抬 tái 
to line up; queue up; form a line	排队 pái duì 
to link; to join; to connect; continuously; in succession; including; (used with 也, 都 etc) even; company (military)	连 lián 
to live (in a house); to lodge; to mail; to send; to entrust; to depend	寄 jì 
to look around; to inspect; visit and observe	参观 cān guān 
to loosen; to relax	放松 fàng sōng 
to lose the way; lost; labyrinth; labyrinthus vestibularis (of the inner ear)	迷路 mí lù 
to lose; to put aside; to throw	丢 diū 
to lose weight	减肥 jiǎn féi 
to make a sound; to sound; to ring; loud; classifier for noises	响 xiǎng 
tomato; CL:只[zhi1]	西红柿 xī hóng shì 
to misunderstand; to mistake; misunderstanding; CL:个	误会 wù huì 
to move backwards; converse	倒 dào 
to move (sb); to touch (sb emotionally); moving	感动 gǎn dòng 
to notify; to inform; notice; notification; CL:个	通知 tōng zhī 
to obtain; to receive; to get	获得 huò dé 
toothpaste; CL:管[guan3]	牙膏 yá gāo 
to overtake; to catch up with; to hurry; to rush; to try to catch (the bus etc); to drive (cattle etc) forward; to drive (sb) away; to avail oneself of (an opportunity); until;	赶 gǎn 
to pass through; to get through; by means of; through; via; to adopt; to pass (a bill); to switch over	通过 tōng guò 
to permit; to allow	允许 yǔn xǔ 
to photocopy; to duplicate a document	复印 fù yìn 
to (physically) straighten up; to stick out; to endure or hold out; straight; stiff; outstanding; extraordinary; rather; quite; very; classifier for machine guns	挺 tǐng 
to play a joke; to make fun of; to joke	开玩笑 kāi wán xiào 
to postpone; to put off; to defer	推迟 tuī chí 
to praise; to commend	表扬 biǎo yáng 
to prepare a lesson	预习 yù xí 
to print; to seal; to stamp	打印 dǎ yìn 
to prohibit; to forbid; to ban	禁止 jìn zhǐ 
to propose; to suggest; to recommend; proposal; suggestion; recommendation; CL:个,点[dian3]	建议 jiàn yì 
to protect; to defend; to safeguard; protection; CL:种[zhong3]	保护 bǎo hù 
to pull; to play (string instruments); to drag; to draw	拉 lā 
to push; to cut; to refuse; to reject; to decline; to shirk (responsibility); to put off; to delay; to push forward; to nominate; to elect	推 tuī 
to put in order; to tidy up; to pack; to repair; to punish (colloquial); to manage	收拾 shōu shi 
to put on or wear (glasses, hat, gloves etc); to respect; to bear; to support	戴 dài 
to raise; to increase	增加 zēng jiā 
to reach; to be enough	够 gòu 
to read; reading	阅读 yuè dú 
to recall; recollection; CL:个	回忆 huí yì 
to receive; to accept; to collect; in care of (used on address line after name)	收 shōu 
to recline; to lie down	躺 tǎng 
to reduce; to lower; to bring down	降低 jiàng dī 
to refuse; to decline; to reject	拒绝 jù jué 
to regret; to repent	后悔 hòu huǐ 
to remain; to be left; to have as remainder	剩 shèng 
to renounce; to abandon; to give up	放弃 fàng qì 
to rent; to charter; to rent out; to lease out; to hire; rent; land tax	租 zū 
to repair; to perform maintenance; to overhaul; to fix; to prune; to trim	修理 xiū lǐ 
to retain; to stay; to remain; to keep; to preserve; to leave (eg a message)	留 liú 
to ride (in a vehicle)	乘坐 chéng zuò 
to shed; to take off; to escape; to get away from	脱 tuō 
to shift to an earlier date; to bring forward; to advance; in advance	提前 tí qián 
to sign up; to enter one's name; to apply; to register; to enroll; to enlist	报名 bào míng 
to smoke (a cigarette, tobacco)	抽烟 chōu yān 
to spread; to rage (of contagious disease); popular; fashionable; prevalent; (math.) manifold	流行 liú xíng 
to start out; to set off	出发 chū fā 
to stipulate; to fix; to set; to formulate; to provide; regulation; rule; CL:个	规定 guī dìng 
to stroll; to visit	逛 guàng 
to suffer; obtained; given; to receive	受到 shòu dào 
to suit; to fit; to be suitable; to adapt; to get used to sth	适应 shì yìng 
to sum up; to conclude; summary; resume; CL:个	总结 zǒng jié 
to supervise; to manage; to administer; management; administration; CL:个	管理 guǎn lǐ 
to supply; to provide; to furnish; to offer	提供 tí gōng 
to surpass; to exceed; to outstrip	超过 chāo guò 
to suspect; to doubt; doubt; suspicion; skeptical	怀疑 huái yí 
to take a walk; to go for a walk	散步 sàn bù 
to take in; income; revenue; CL:笔[bi3] ,个	收入 shōu rù 
to take; to get; to choose; to fetch	取 qǔ 
to talk over; to discuss; CL:个	讨论 tǎo lùn 
to think over; to consider; consideration	考虑 kǎo lv4 
to throw; to throw away	扔 rēng 
to translate; to interpret; translator; interpreter; translation; interpretation; CL:个,位[wei4] ,名[ming2]	翻译 fān yì 
to transport; to lose; to donate; to enter (a password)	输 shū 
to travel; journey; trip; CL:趟[tang4],次[ci4],個|个[ge4];	旅行 lǚ xíng 
to try (to taste); to experience; flavor; (past tense marker); already; formerly; ever; once; test	尝 cháng 
to turn; to change direction; to transfer; to forward (mail);	转 zhuǎn 
tour guide; to conduct a tour; a guidebook	导游 dǎo yóu 
to use as; according to; because of	以 yǐ 
to use; to employ; to apply; to make use of	使用 shǐ yòng 
to wake up; to awaken; to be awake	醒 xǐng 
to walk; to go; to travel; a visit; temporary; makeshift; current; in circulation; to do; to perform; capable; competent; effective; all right; OK!; will do	行 xíng 
to waste; to squander	浪费 làng fèi 
towel; CL:条[tiao2]	毛巾 máo jīn 
to win; to beat; to profit	赢 yíng 
to wipe; to erase; rubbing (brush stroke in painting); to clean; to polish	擦 cā 
to work overtime	加班 jiā bān 
traffic; communications; liaison; to be connected	交通 jiāo tōng 
traffic jam; choking	堵车 dǔ chē 
two (colloquial equivalent of 两个); both; some	俩 liǎ 
(two, three etc) -fold; times (multiplier); double; to increase or multiply	倍 bèi 
unbearable; unable to endure; can't stand	受不了 shòu bù liǎo 
unexpectedly; to one's surprise; in spite of everything; in that crazy way; actually; to go as far as to	竟然 jìng rán 
universal; general; widespread; common	普遍 pǔ biàn 
un-; to lack; -less; not to have; no; none; not; to lack	无 wú 
visa; certificate; to certify; CL:个	签证 qiān zhèng 
wages; pay; CL:个,份[fen4] ,月[yue4]	工资 gōng zī 
warm (weather); nice and warm	暖和 nuǎn huo 
way of looking at a thing; view; opinion; CL:个	看法 kàn fǎ 
weak point; fault; shortcoming; CL:个	缺点 quē diǎn 
website; network station; node	网站 wǎng zhàn 
we or us (including both the speaker and the person(s) spoken to); I or me; you	咱们 zán men 
whether (or not); if; is or isn't	是否 shì fǒu 
whole; entire; complete	全部 quán bù 
window; CL:个,扇[shan4]	窗户 chuāng hu 
winter vacation	寒假 hán jià 
without any better option; to have to; to be forced to	只好 zhǐ hǎo 
word (general term including monosyllables through to short phrases); term (e.g. technical term); expression	词语 cí yǔ 
writer; author; CL:个	作者 zuò zhě 
yet (not); and; as well as; and so; but (not); (indicates causal relation); (indicates change of state); (indicates contrast)	而 ér 
