absolute; unconditional	绝对 jué duì 
monkey; CL:只[zhi1]	猴子 hóu zi 
monotonous; uniform; unvarying	单调 dān diào 
mother's brother; maternal uncle (informal); CL:个	舅舅 jiù jiu 
motorbike; motorcycle; CL:辆[liang4] ,部[bu4]	摩托车 mó tuō chē 
mouse (computing)	鼠标 shǔ biāo 
much less; let alone	何况 hé kuàng 
muddled; silly; confused	糊涂 hú tu 
muscle; flesh	肌肉 jī ròu 
museum	博物馆 bó wù guǎn 
musical instrument; CL:件[jian4];	乐器 yuè qì 
mysterious; mystery	神秘 shén mì 
naive; innocent; artless	天真 tiān zhēn 
narrow; narrow-minded; badly off	窄 zhǎi 
nature; characteristic; CL:个	性质 xìng zhì 
naughty; bad	淘气 táo qì 
naughty; mischievous; unruly	调皮 tiáo pí 
near; close to	接近 jiē jìn 
necessary; essential; indispensable; required	必要 bì yào 
neck; CL:个	脖子 bó zi 
necklace	项链 xiàng liàn 
negative; passive; inactive	消极 xiāo jí 
New Year's Day	元旦 yuán dàn 
(New Year's) Eve	除夕 chú xī 
next door; neighbor	隔壁 gé bì 
night; evening	夜 yè 
no matter how; even; even if; even though	哪怕 nǎ pà 
non-; not-; un-; abbr. for Africa 非洲; wrong; evil-doing; insist on; simply must	非 fēi 
nonsense; rubbish; superfluous words; You don't say!; No kidding! (gently sarcastic)	废话 fèi huà 
not equal to; not as good as; inferior to; it would be better to	不如 bù rú 
not necessarily; maybe not	未必 wèi bì 
not necessarily; not likely	不见得 bú jiàn de 
not so; no; or else; otherwise; if not	不然 bù rán 
not to matter; to be indifferent; cannot be said to be;	无所谓 wú suǒ wèi 
nowadays; now	如今 rú jīn 
number; figure; several; a few	数 shǔ 
numeral; figures; digital; amount; numerical code	数码 shù mǎ 
nutrition; nourishment; CL:种[zhong3]	营养 yíng yǎng 
objective; impartial	客观 kè guān 
obvious; distinct; clear	明显 míng xiǎn 
(of an area) vast or extensive; large-scale; widespread; (of people) numerous	广大 guǎng dà 
(of a woman) to marry; to marry off a daughter; to shift (blame etc)	嫁 jià 
official; government; organ of body; CL:个	官 guān 
(of water) to dash against; to mix with water; to infuse; to rinse; to flush; to develop (a film); to rise in the air; to clash; to collide with	冲 chōng 
older and younger brother; brothers; brotherly; fraternal; CL:个	兄弟 xiōng dì 
once; already; former; previously; ever; (past tense marker used before verb or clause)	曾经 céng jīng 
one after another; in succession; one by one; continuously; diverse; in profusion; numerous and confused; pell-mell	纷纷 fēn fēn 
one's conduct; deed; activity; accomplishment; achievement; to act as; as (in the capacity of); qua; to view as; to look upon (sth as); to take sth to be	作为 zuò wéi 
one's elders; older generation	长辈 zhǎng bèi 
only if (..., or otherwise,...); only when; only in the case that; unless	除非 chú fēi 
opening ceremony	开幕式 kāi mù shì 
opponent; adversary; rival; competitor	对手 duì shǒu 
optimistic; hopeful	乐观 lè guān 
order; command; CL:道[dao4] ,个	命令 mìng lìng 
orderly; neat; even; tidy	整齐 zhěng qí 
order (orderly, sequence, social); the state (of society); CL:个	秩序 zhì xù 
ordinary; common; usually; ordinarily	平常 píng cháng 
ordinary people; the 'person in the street'; CL:个	老百姓 lǎo bǎi xìng 
otherwise; or; or else; how about...? (one choice or the other); either this, or else...	要不 yào bù 
outline; synopsis	提纲 tí gāng 
over and over again; again and again	再三 zài sān 
overjoyed; delighted; happily; heartily; enjoying; also pr. tong4 kuai5	痛快 tòng kuài 
pain; suffering; painful; CL:个	痛苦 tòng kǔ 
pan-fry; to fry; fried; sauté	炒 chǎo 
pan; pot; boiler; CL:口[kou3] ,只[zhi1]	锅 guō 
part; component	零件 líng jiàn 
partner; companion; comrade	伙伴 huǒ bàn 
pastry; dimsum (in Cantonese cooking); dessert; light refreshments	点心 diǎn xin 
paternal aunt; CL:个	姑姑 gū gu 
peace	和平 hé píng 
peach	桃 táo 
peanut; groundnut; CL:粒[li4]	花生 huā shēng 
pear; CL:个	梨 lí 
peasant; CL:个	农民 nóng mín 
pedestrian; traveler on foot; passer-by; official responsible for arranging audiences with the emperor	行人 xíng rén 
perfection; perfect; perfectly	完美 wán měi 
perhaps; maybe	或许 huò xǔ 
period of time; time; time period; period; CL:个	期间 qī jiān 
personally	亲自 qīn zì 
persona; role; character in a novel	角色 jué sè 
pessimistic	悲观 bēi guān 
philosophy; CL:个	哲学 zhé xué 
physical labor; work; toil; CL:次[ci4]	劳动 láo dòng 
physics; physical	物理 wù lǐ 
pinyin (Chinese romanization); phonetic writing	拼音 pīn yīn 
place; location; classifier for houses, small buildings, institutions etc; that which; particle introducing a relative clause or passive; CL:个	所 suǒ 
plan; design; to design; to plan; CL:个	设计 shè jì 
plan (for action); program (for action etc); proposal; proposed bill; CL:个	方案 fāng àn 
playground; sports field; drill ground; CL:个	操场 cāo chǎng 
plaything; toy	玩具 wán jù 
poem; poetry; verse; abbr. for Book of Songs 诗经[shi1 jing1]; CL:首[shou3]	诗 shī 
point of view; viewpoint; standpoint; CL:个	观点 guān diǎn 
politics; political	政治 zhèng zhì 
pool; pond	池塘 chí táng 
population	人口 rén kǒu 
pork; hog; pig; swine; CL:口[kou3] ,头[tou2]	猪 zhū 
position; place; seat; CL:个	位置 wèi zhi 
position; status; place; CL:个	地位 dì wèi 
posture; position	姿势 zī shì 
potato; CL:个	土豆 tǔ dòu 
pot; classifier for bottled liquid	壶 hú 
power; force; strength	力量 lì liang 
practical; functional; pragmatic; applied (science)	实用 shí yòng 
practiced; proficient; skilled; skillful	熟练 shú liàn 
PRC National Day (October 1st)	国庆节 guó qìng jié 
preferably; one would prefer to...(or not to...); would rather; (would) be better to; (to pick) the lesser of two evils	宁可 nìng kě 
preferential; favorable	优惠 yōu huì 
pregnant; to have conceived; gestation; pregnancy	怀孕 huái yùn 
premier; prime minister; CL:个,位[wei4] ,名[ming2]	总理 zǒng lǐ 
president (of a country); CL:个,位[wei4] ,名[ming2] ,届[jie4]	总统 zǒng tǒng 
previously; formerly; once upon a time	从前 cóng qián 
pride; to be proud of sth (in a good way)	自豪 zì háo 
prince; son of a king	王子 wáng zǐ 
princess	公主 gōng zhǔ 
principle; doctrine; CL:个	原则 yuán zé 
private (citizen); private	私人 sī rén 
privilege; right; power	权利 quán lì 
procedures; sequence; order; computer program	程序 chéng xù 
profits	利润 lì rùn 
profound; deep; deep-going	深刻 shēn kè 
progress; improvement; to improve; to progress; CL:个	进步 jìn bù 
progressively; step by step	逐步 zhú bù 
prominent; outstanding; to give prominence to; to protrude; to project	突出 tū chū 
promptly; at once	连忙 lián máng 
property; assets; estate; CL:笔[bi3]	财产 cái chǎn 
proportion; scale	比例 bǐ lì 
prosperous; booming (economy)	繁荣 fán róng 
public; to publish; to make public	公开 gōng kāi 
punctuation; a punctuation mark; to punctuate; CL:个	标点 biāo diǎn 
purple; violet; amethyst; Lithospermum erythrorhizon (flowering plant whose root provides red purple dye); Japanese: murasaki	紫 zǐ 
qualifications; seniority	资格 zī gé 
quilt; CL:床[chuang2]	被子 bèi zi 
(railway) train;	列车 liè chē 
rainbow	彩虹 cǎi hóng 
rapid; speedy; fast	迅速 xùn sù 
rather than...; 與与其 A 不如 B (rather than A, better to B)	与其 yǔ qí 
rational; reasonable; fair	合理 hé lǐ 
rat; mouse; CL:只[zhi1]	老鼠 lǎo shǔ 
raw material; CL:个	原料 yuán liào 
read aloud; read loudly and clearly	朗读 lǎng dú 
reality; actuality; real; actual; CL:个	现实 xiàn shí 
really; indeed	的确 dí què 
real; pure; genuine; typical; well-done; thorough	地道 dì dao 
reason; argument; sense; principle; basis; justification; CL:个	道理 dào lǐ 
reason; grounds; justification; CL:个	理由 lǐ yóu 
receipt; CL:张[zhang1]	收据 shōu jù 
record (sports, written account); note	纪录 jì lù 
reference; to consult; to refer; consultation	参考 cān kǎo 
regional; local; district (not necessarily formal administrative unit); region; area; as suffix to city name, means prefecture or county (area administered by a prefecture level city or county level city); CL:个	地区 dì qū 
regulation; rule; rules and regulations	规则 guī zé 
relation; to connect; to relate to; to tie up; to bind; department	系 xì 
relatively; opposite; to resist; to oppose; relative; vis-a-vis	相对 xiāng duì 
reliable	可靠 kě kào 
remarkable; outstanding	出色 chū sè 
Renminbi (RMB); Chinese Yuan (CNY)	人民币 rén mín bì 
repeatedly; over and over	反复 fǎn fù 
repeatedly	一再 yí zài 
report; to report (new); CL:篇[pian1] ,份[fen4]	报道 bào dào 
representative; delegate; to represent; to stand for; on behalf of; in the name of; CL:位[wei4],个, 名[ming2]	代表 dài biǎo 
resources (natural, manpower etc)	资源 zī yuán 
result; achievement; gain; profit; CL:个	成果 chéng guǒ 
retirement (from work)	退休 tuì xiū 
risk; venture; hazard	风险 fēng xiǎn 
(romantic) love; in love; to have an affair; CL:个	恋爱 liàn ài 
root; basis; classifier for long slender objects, e.g. cigarettes, guitar strings; CL:条[tiao2]; radical (chemistry)	根 gēn 
rope; string; cord; CL:条[tiao2]	绳子 shéng zi 
round; circular; group; society; regiment	团 tuán 
rugged; sturdy	结实 jiē shi 
rule (e.g. of science); law of behavior; regular pattern; rhythm; discipline	规律 guī lv4 
rule; ruler (measuring instrument); CL:把[ba3]	尺子 chǐ zi 
rural area; village; CL:个	农村 nóng cūn 
safe and sound; well; without mishap; quiet and safe; at peace;	平安 píng 'ān 
sales counter; front desk; bar	柜台 guì tái 
sausage; CL:根[gen1];	香肠 xiāng cháng 
saving; to save; to use sparingly; to cut down on	节省 jié shěng 
scale; scope; extent; CL:个	规模 guī mó 
scarf; shawl; CL:条[tiao2]	围巾 wéi jīn 
scenery; landscape; CL:个	风景 fēng jǐng 
scene; sight; circumstances; CL:个	情景 qíng jǐng 
schedule; itinerary; CL:个	日程 rì chéng 
scissors; CL:把[ba3]	剪刀 jiǎn dāo 
seafood	海鲜 hǎi xiān 
secondary	次要 cì yào 
second in order; second of 10 heavenly stems 十天干; letter 'B' or roman 'II' in list 'A, B, C', or 'I, II, III' etc; second party (in legal contract, usually 乙方[yi3 fang1] , as opposed to 甲方[jia3 fang1]); ethyl; bent; winding; radical in Chinese characters (Kangxi radical 5)	乙 yǐ 
secretary	秘书 mì shū 
secret; CL:个	秘密 mì mì 
seems as if; rather like;	似的 shì de 
selfish; selfishness; self-centred	自私 zì sī 
sensitive; susceptible; politically sensitive (pretext for censorship)	敏感 mǐn gǎn 
shadowboxing or Taiji, T'aichi or T'aichichuan; traditional form of physical exercise or relaxation; a martial art	太极拳 tài jí quán 
shadow; reflection; indication; influence; CL:个	影子 yǐng zi 
shallow, not deep; superficial	浅 qiǎn 
shape; outer appearance; form; CL:个	形式 xíng shì 
share; stock (market)	股票 gǔ piào 
shore; bank; beach; coast; CL:個|个[ge4]	岸 àn 
shortage; be lacking; to be short of; to lack; scarcity	缺乏 quē fá 
shoulder	肩膀 jiān bǎng 
signal	信号 xìn hào 
sign; mark; symbol; symbolize; to indicate; to mark	标志 biāo zhì 
silk cloth; silk	丝绸 sī chóu 
silver; silver-colored; relating to money or currency	银 yín 
simple; pure; alone; merely	单纯 dān chún 
simply; at all; practically	简直 jiǎn zhí 
since (a previous event)	以来 yǐ lái 
since (a time); ever since	自从 zì cóng 
sincere; honest; cordial	诚恳 chéng kěn 
skill; ability; capability; CL:项[xiang4] ,个	本领 běn lǐng 
sky	天空 tiān kōng 
slim; slender; graceful	苗条 miáo tiáo 
slow-witted; blockhead; log (of wood, timber etc); CL:块[kuai4] ,根[gen1]	木头 mù tou 
(small) bell; CL:只[zhi1]	铃 líng 
smile; CL:个	微笑 wēi xiào 
snake; serpent; CL:条[tiao2]	蛇 shé 
soap; CL:块[kuai4] ,条[tiao2]	肥皂 féi zào 
soccer fan; crazy about ball sports; CL:个	球迷 qiú mí 
social custom; CL:个	风俗 fēng sú 
soft; flexible	软 ruǎn 
soldier; CL:个	士兵 shì bīng 
solemn; solemnity	严肃 yán sù 
sole; only	唯一 wéi yī 
sooner or later	迟早 chí zǎo 
soy sauce	酱油 jiàng yóu 
space (astronomy); CL:个	空间 kōng jiān 
special; particular; unusual; extraordinary	特殊 tè shū 
spirit; mind; consciousness; thought; mental; psychological; essence; gist; CL:个	精神 jīng shén 
square (as in square foot, square mile, square root)	平方 píng fāng 
square; power or involution (mathematics); upright; honest; fair and square; direction; side; party (to a contract, dispute etc); place; method; prescription (medicine); upright or honest; just when; only or just; classifier for square things; abbr. for square or cubic meter	方 fāng 
staff; crew; personnel; CL:个	人员 rén yuán 
staff; personnel; employee;	员工 yuán gōng 
stage; section; phase; period; CL:个	阶段 jiē duàn 
star; celebrity	明星 míng xīng 
state of affairs; state; mode; situation; CL:个	状态 zhuàng tài 
stationery; item of stationery (pen, pencil, eraser, pencil sharpener etc)	文具 wén jù 
stature; build (height and weight); figure	身材 shēn cái 
status; capacity; dignity; position; rank; identity	身份 shēn fèn 
staunch; strong	坚强 jiān qiáng 
steady; stable; stability; to stabilize; to pacify	稳定 wěn dìng 
stealthily; quietly; secretly;	悄悄 qiāo qiāo 
steamed roll; steamed bun; steamed bread; CL:个	馒头 mán tou 
steel; strong; firm; staunch	钢铁 gāng tiě 
stench; stink; smelly; to smell (bad)	臭 chòu 
step; move; measure	步骤 bù zhòu 
stingy; petty; miserly; narrow-minded	小气 xiǎo qi 
stomach; CL:个	胃 wèi 
stone; CL:块[kuai4]	石头 shí tou 
straightforward; clear-cut; blunt (e.g. statement); you might as well; simply	干脆 gān cuì 
strange; unfamiliar	陌生 mò shēng 
structure; composition; makeup; architecture; CL:座[zuo4] ,个	结构 jié gòu 
style; maneer; mode	风格 fēng gé 
subjective	主观 zhǔ guān 
subject (of a talk or conversation); topic	话题 huà tí 
subject; title; topic; CL:个	题目 tí mù 
suddenly; all of a sudden	忽然 hū rán 
(suffer from) insomnia	失眠 shī mián 
summer camp	夏令营 xià lìng yíng 
superfluous; unnecessary; surplus	多余 duō yú 
superiority; dominance; advantage	优势 yōu shì 
superior quality; high grade; top grade	高档 gāo dàng 
supposing; if	假如 jiǎ rú 
sure enough; as expected; really	果然 guǒ rán 
surface area	面积 miàn jī 
surface; face; outside; appearance	表面 biǎo miàn 
surgical operation; operation; surgery; CL:个	手术 shǒu shù 
system; CL:个	系统 xì tǒng 
system (e.g. political, administrative etc); institution; CL:个	制度 zhì dù 
taciturn; silent; uncommunicative	沉默 chén mò 
tail	尾巴 wěi ba 
taken in (by sb's deceit); to be fooled; to be duped	上当 shàng dàng 
tangerine; CL:个,瓣[ban4]	桔子 jú zi 
target; goal; objective; CL:个	目标 mù biāo 
target; object; partner; boyfriend; girlfriend; CL:个	对象 duì xiàng 
taxes; duties	税 shuì 
teaching material; CL:本[ben3]	教材 jiào cái 
teenager; teenage; an adolescent; a youth; young person	青少年 qīng shào nián 
tender; soft; delicate; light (color); inexperienced; unskilled	嫩 nèn 
territory; land; soil; local god; Lar; genius loci; CL:片[pian4]	土地 tǔ dì 
test; to test; CL:次[ci4] ,个	测验 cè yàn 
thanks to; luckily	多亏 duō kuī 
the back (human anatomy); the back part of sth;	后背 hòu bèi 
the back of a body or object; to turn one's back; to hide something from; to learn by heart; to recite from memory	背 bèi 
the classics; scriptures; classical	经典 jīng diǎn 
theme; subject	主题 zhǔ tí 
theory; CL:个	理论 lǐ lùn 
therefore; as a result; thus; and as a result,...	因而 yīn ér 
there is no need; why should	何必 hé bì 
the rest; the others; remaining; remainder; apart from them	其余 qí yú 
the slightest amount or degree; a bit	丝毫 sī háo 
thin; cold in manner; indifferent; weak; light; infertile	薄 báo 
thing; object; CL:个	事物 shì wù 
thin piece; flake; a slice; film; TV play; to slice; to carve thin; partial; incomplete; one-sided; classifier for slices, tablets, tract of land, area of water; classifier for CDs, movies, DVDs etc; used with numeral 一[yi1]: classifier for scenario, scene, feeling, atmosphere, sound etc	片 piàn 
thorough; thoroughly; complete	彻底 chè dǐ 
thoughtful; considerate; attentive; thorough	周到 zhōu dao 
thought; notion; concept; sense; views; ideology; general impressions	观念 guān niàn 
thought; thinking; idea; ideology; CL:个	思想 sī xiǎng 
throat; voice; CL:把[ba3]	嗓子 sǎng zi 
thunder; (internet slang) terrifying; terrific	雷 léi 
thus; then; standard; norm; rule; to imitate; to follow; principle; classifier for written items (such as an official statement); conjunction used to express contrast with a previous sentence or clause (like 'thus');	则 zé 
thus; thereby	从而 cóng ér 
tie one's necktie	系领带 jì lǐng dài 
tint; coloring; coloration; character	色彩 sè cǎi 
to absorb; to assimilate; to ingest	吸收 xī shōu 
to absorb; to draw (a lesson, insight etc); to assimilate	吸取 xī qǔ 
to achieve; to implement; to realize; to bring about	实现 shí xiàn 
to act as intermediary; to link; intermediate; inter-; agency; agent	中介 zhōng jiè 
to admire; to applause; to praise; to eulogize	赞美 zàn měi 
to admit; to concede; to recognize; recognition (diplomatic, artistic etc); to acknowledge	承认 chéng rèn 
to adopt or carry out (measures, policies, course of action); to take	采取 cǎi qǔ 
to advise; to urge; to try to persuade; to exhort	劝 quàn 
to advocate; to stand for; view; position; stand; proposition; viewpoint; assertion; CL:个	主张 zhǔ zhāng 
to agree; to promise; to reply; to respond	答应 dā ying 
to alternate; to take turns	轮流 lún liú 
to amend; to alter; to modify	修改 xiū gǎi 
to analyze; analysis; CL:个	分析 fēn xī 
to announce; to make public; to publish	公布 gōng bù 
to applaud; to clap	鼓掌 gǔ zhǎng 
to appreciate; to enjoy; to admire	欣赏 xīn shǎng 
to approve; to endorse	赞成 zàn chéng 
to approve; to ratify	批准 pī zhǔn 
to argue; to debate; to contend; argument; contention; controversy; debate; CL:次[ci4] ,场[chang3]	争论 zhēng lùn 
to arise; to come into being; to come about; to give rise to; to bring into being; to bring about; to produce; to engender; to generate; to appear; appearance; emergence; generation; production; yield	产生 chǎn shēng 
to arrange; to exhibit; to move to and fro; a pendulum	摆 bǎi 
to arrive at (place or time); period; to become due; classifier for events, meetings, elections, sporting fixtures etc	届 jiè 
to ascertain; to act on; to criticize; to pass on; classifier for batches, lots, military flights; tier (for the ranking of universities and colleges)	批 pī 
to ask about; to inquire about	打听 dǎ ting 
to assemble; combination; combinatorial	组合 zǔ hé 
to assign; to allocate; to distribute	分配 fēn pèi 
to associate; to contact; association; contact	交往 jiāo wǎng 
to attend; to participate; present	出席 chū xí 
to avail oneself of; to take advantage of	趁 chèn 
to avert; to prevent; to avoid; to refrain from	避免 bì miǎn 
to be able to; to subdue; to restrain; to overcome; gram	克 kè 
to be allergic; allergy	过敏 guò mǐn 
to bear; to support; to inherit	承受 chéng shòu 
to be crowded; to throng; to push and squeeze; congestion	拥挤 yōng jǐ 
to be directed against; to be aimed at; to counter; in the light of; in connection with	针对 zhēn duì 
to be in; to lie in; to consist in; to depend on; to rest with;	在于 zài yú 
to be located at; to be situated at; to lie	位于 wèi yú 
to be obedient to one's parents	孝顺 xiào shun 
to be overdue; to exceed the time limit; to expire (as in expiration date)	过期 guò qī 
to bite; to nip	咬 yǎo 
to blame; to criticize	责备 zé bèi 
to blow; to play a wind instrument; to blast; to puff; to boast; to brag; to end in failure; to fall through	吹 chuī 
to boast; to exaggerate; to praise	夸 kuā 
to borrow; to take; to pick (flowers, fruit etc); to pluck; to select; to remove; to take off (glasses, hat etc)	摘 zhāi 
to break down; to break into pieces; fragmentary	碎 suì 
to break; to snap; to cut off; to give up or abstain from sth; to judge; (usu. used in the negative) absolutely, definitely,decidedly	断 duàn 
to breathe	呼吸 hū xī 
to bring about; to create; to cause	造成 zào chéng 
to broadcast; to transmit	播放 bō fàng 
to build; to construct; construction; constructive	建设 jiàn shè 
to call; to address as; appellation	称呼 chēng hu 
to cancel; cancellation	取消 qǔ xiāo 
to care about; to mind; determined by	在乎 zài hu 
to (carry) on one's person; to (take) with one	随身 suí shēn 
to catch cold	着凉 zháo liáng 
to celebrate	庆祝 qìng zhù 
to change; to transform; CL:个	转变 zhuǎn biàn 
to check in; to report for duty; to register	报到 bào dào 
to cherish the memory of; to think of; reminisce	怀念 huái niàn 
to cherish; to treasure; to use sparingly	爱惜 ài xī 
to cherish; to value; to treasure	珍惜 zhēn xī 
to chop; to cut down; to throw sth at sb	砍 kǎn 
to clarify; explicit; clear-cut; definite; to specify; to make definite	明确 míng què 
to close; to shut	关闭 guān bì 
to coach; to tutor; to give advice (in study)	辅导 fǔ dǎo 
to combine; to join; unite; alliance	联合 lián hé 
to combine; to link; to integrate; binding; CL:次[ci4]	结合 jié hé 
to come into contact with; to have dealings	打交道 dǎ jiāo dào 
to comfort; to console; CL:个	安慰 ān wèi 
to commemorate; to remember; CL:个	纪念 jì niàn 
to comment; to talk about; to discuss; discussion; CL:个	议论 yì lùn 
to compensate	赔偿 péi cháng 
to complain; to grumble	抱怨 bào yuàn 
to comply with; to abide by; to respect (an agreement)	遵守 zūn shǒu 
to comprise; to include; to involve; to incorporate; to consist of	包括 bāo kuò 
to conceal oneself; to hide oneself; to take cover	躲藏 duǒ cáng 
to concentrate; absorption; concentration; engrossed	专心 zhuān xīn 
to concentrate; to centralize; to focus; centralized; concentrated; to put together	集中 jí zhōng 
to confirm; to verify; confirmation	确认 què rèn 
to confront; to face	面对 miàn duì 
to conserve; to preserve; to keep; to save (a file etc) (computing)	保存 bǎo cún 
to constitute; to form; to compose; to make up; to configure (computing)	构成 gòu chéng 
to consult; to seek advice; consultation; (sales) inquiry (formal)	咨询 zī xún 
to consume; CL:个	消费 xiāo fèi 
to contain; to embody; to include	包含 bāo hán 
to continue; to persist; sustainable; preservation	持续 chí xù 
to contribute; to dedicate; to devote; contribution; CL:个	贡献 gòng xiàn 
to contribute; to donate; contribution; tax; to abandon	捐 juān 
to convene (a conference or meeting) ／ to convoke; to convoke; to call together	召开 zhào kāi 
to convert; to exchange	兑换 duì huàn 
to cook; to boil	煮 zhǔ 
to cooperate; to collaborate; to work together; cooperation; CL:个	合作 hé zuò 
to copy; to plagiarize; to search and seize; to go; to transcribe; to take a shortcut; to search and confiscate	抄 chāo 
to correct; to amend; to put right; correction; CL:个	改正 gǎi zhèng 
to count; to calculate; to compute; CL:个	计算 jì suàn 
to create; to bring about; to produce; CL:个	创造 chuàng zào 
to crouch; to squat	蹲 dūn 
to cultivate; to train; to groom; training	培训 péi xùn 
to curtail; to cut down	缩短 suō duǎn 
to cut off; to hinder	拦 lán 
to cut; to slice; tangent (math)	切 qiē 
to deal with; to cope	应付 yìng fu 
to declare; to announce; to proclaim	宣布 xuān bù 
to decline (an appointment, invitation etc)	推辞 tuī cí 
to decorate; decoration; decorative; ornamental	装饰 zhuāng shì 
to deep fry	油炸 yóu zhá 
to delay; to hold-up; to waste time; to interfere with	耽误 dān wu 
to delete; to cancel	删除 shān chú 
to deny; to declare to be untrue	否认 fǒu rèn 
to describe; description; appearance; look	形容 xíng róng 
to describe; to depict; to portray; description	描写 miáo xiě 
to disappear; to fade away	消失 xiāo shī 
to display; to exhibit; to bring out implicit or innate qualities; to express (a thought or moral); to develop (an idea); to elaborate (on a theme)	发挥 fā huī 
to disseminate; to give publicity to; propaganda; CL:个	宣传 xuān chuán 
to divorce; divorced from (one's spouse)	离婚 lí hūn 
to do business; to trade	营业 yíng yè 
to do; to make; to go in for; to set up; to get hold of; to take care of	搞 gǎo 
to download	下载 xià zǎi 
to drape over one's shoulders; to unroll; to split open; to spread out	披 pī 
to draw up; to formulate; to lay down; to draft	制定 zhì dìng 
to dream of; to hope in vain	梦想 mèng xiǎng 
to dry in the sun; to sunbathe; to share files (loan from 'share')	晒 shài 
to dry (of weather, paint, cement etc); desiccation; dull; uninteresting; arid	干燥 gān zào 
to duplicate; to make a copy of; to copy; to reproduce; to clone	复制 fù zhì 
to ease; to help relieve (a crisis)	缓解 huǎn jiě 
to edit; to compile; editor; compiler	编辑 biān jí 
to educate; to nurture; to breed; to groom (for a position)	培养 péi yǎng 
to embody; to reflect; to incarnate	体现 tǐ xiàn 
to embrace; to hug; to hold in one's arms	拥抱 yōng bào 
to emphasize (a statement); to stress	强调 qiáng diào 
to engage in (business etc); to run; to operate	经营 jīng yíng 
to engineer; to create; to manufacture; to make	制造 zhì zào 
to enjoy; to live it up; pleasure; CL:种[zhong3]	享受 xiǎng shòu 
to enlighten; to explain and arouse interest; to inspire; inspiration; heuristic (attributively); to teach; CL:个	启发 qǐ fā 
to entertain; to amuse; entertainment; recreation; amusement; hobby; fun; joy	娱乐 yú lè 
to equal; to be tantamount to	等于 děng yú 
to escape; to run away; to flee	逃 táo 
to establish; to set up; to be tenable; to hold water	成立 chéng lì 
to establish; to set up; to found; to build	建立 jiàn lì 
to evade; to avoid; to shirk; to escape;	逃避 táo bì 
to evaluate; to assess	评价 píng jià 
to exaggerate; overstated; exaggerated; hyperbole; (coll.) excessive; extreme; ridiculous;	夸张 kuā zhāng 
to exchange; to swap; to switch (telecom); commutative (math); to commute	交换 jiāo huàn 
to exercise; to keep fit; to work out; physical exercise;	健身 jiàn shēn 
to exert all one's strength	使劲儿 shǐ jìn r 
to exist; to be	存在 cún zài 
to expand; to enlarge; to broaden one's scope	扩大 kuò dà 
to experience for oneself	体验 tǐ yàn 
to experiment; experiments; CL:个,次[ci4]	实验 shí yàn 
to express thanks; grateful; moved to gratitude	感激 gǎn jī 
to extend; to spread; to popularize; CL:个	推广 tuī guǎng 
to face sth; to be confronted with	面临 miàn lín 
to fall behind; to lag (in technology etc); backward; to retrogress	落后 luò hòu 
to fall down; to slip and fall; to throw sb to the ground;	摔倒 shuāi dǎo 
to feel with the hand; to touch; to stroke; to grope; to feel (one's pulse)	摸 mō 
to feel wronged; to nurse a grievance; to cause sb to feel wronged	委屈 wěi qū 
to feign; to pretend	假装 jiǎ zhuāng 
to fight for; to strive for; to win over	争取 zhēng qǔ 
to fight over; to rush; to scramble; to grab; to rob; to snatch	抢 qiǎng 
to fish with a hook and bait	钓 diào 
to fit up; to renovate; to decorate; interior decoration;	装修 zhuāng xiū 
to float	飘 piāo 
to form; to make up; to compose	组成 zǔ chéng 
to form; to organize; class; section; classifier for sets, series, groups of people, batteries	组 zǔ 
to form; to take shape	形成 xíng chéng 
to freeze; to feel very cold; aspic or jelly	冻 dòng 
to frighten; to scare; to intimidate; to threaten	吓 xià 
tofu; bean curd	豆腐 dòu fu 
to give birth to a child; parturition; to produce; manufacture	生产 shēng chǎn 
to give one's respects; to send a greeting	问候 wèn hòu 
to go back and forth; to go to and fro	往返 wǎng fǎn 
to go bankrupt; to become impoverished; bankruptcy	破产 pò chǎn 
to go for; to engage in; to undertake; to deal with; to handle; to do	从事 cóng shì 
to go round a curve; to turn a corner; fig. a new direction	拐弯 guǎi wān 
to go sight-seeing; to tour; to visit; CL:次[ci4]	游览 yóu lǎn 
to grab; to catch; to arrest; to snatch; to scratch;	抓 zhuā 
to grasp (also fig.); to seize; to hold; assurance; certainty; sure (of the outcome)	把握 bǎ wò 
to grasp firmly; to pay special attention to; to rush in; to make the most of	抓紧 zhuā jǐn 
to grasp (often fig.); to control; to master; to know well; to understand sth well and know how to use it; fluency; to seize (initiative, opportunity, destiny)	掌握 zhǎng wò 
to grow	生长 shēng zhǎng 
to guard against; to exhort; to admonish or warn; to give up or stop doing sth; Buddhist monastic discipline; ring (for a finger);	戒 jiè 
to guide; to give directions; to direct; to coach; guidance; tuition; CL:个	指导 zhǐ dǎo 
to handle; to transact; to conduct	办理 bàn lǐ 
to handle; to treat; to deal with; to process; CL:个	处理 chǔ lǐ 
to hand over; to pass on sth; to gradually increase or decrease; progressively	递 dì 
to hate to do sth; to hate to part with; to begrudge	舍不得 shě bu de 
to hate; to regret	恨 hèn 
to have a part time job; to do manual work	打工 dǎ gōng 
to hear; news; well-known; famous; reputation; fame; to smell; to sniff at; surname Wen	闻 wén 
to hesitate	犹豫 yóu yù 
to hinder; to obstruct	妨碍 fáng ài 
to hit; to strike; to meet by accident; to run into; to bump against; to bump into	撞 zhuàng 
to hold a governmental office or post; to assume office of; to take charge of; to serve as	担任 dān rèn 
