a barber; hairdressing	理发 lǐ fà 
genre; style; form of writing	体裁 tǐ cái 
gentle and soft; tender	温柔 wēn róu 
gentleman	绅士 shēn shì 
gentle; relaxed	轻松 qīng sōng 
gentle; soft	柔和 róu hé 
genuine; real; true; genuinely	真正 zhēn zhèng 
geography	地理 dì lǐ 
geology	地质 dì zhì 
gesture; sign; signal	手势 shǒu shì 
get along with each other	相处 xiāng chǔ 
gift; innate skill	天赋 tiān fù 
gift; present; CL:件[jian4] ,个,份[fen4]	礼物 lǐ wù 
give as a present; present as a gift	赠送 zèng sòng 
glass; nylon; plastic; CL:张[zhang1] ,块[kuai4]	玻璃 bō li 
glossy; sleek; smooth	光滑 guāng hua 
glove; mitten; CL:双[shuang1] ,只[zhi1]	手套 shǒu tào 
glue	胶水 jiāo shuǐ 
gluttonous; greedy; to have a craving	馋 chán 
gold	黄金 huáng jīn 
good and honest; kind-hearted	善良 shàn liáng 
goodbye; see you again later	再见 zài jiàn 
good; commodity; merchandise; CL:个	商品 shāng pǐn 
good; favorable; well; fine	良好 liáng hǎo 
good fortune; to enjoy good fortune	福气 fú qi 
goods and materials	物资 wù zī 
goods; merchandise; product; CL:个	产品 chǎn pǐn 
good; well; proper; good to; easy to; very; so; (suffix indicating completion or readiness)	好 hǎo 
go on a journey; leave	动身 dòng shēn 
gorgeous	华丽 huá lì 
government; CL:个	政府 zhèng fǔ 
graceful; fine; elegant	优美 yōu měi 
grade; class; quality; level	档次 dàng cì 
grade; CL:个	年级 nián jí 
gradually	逐渐 zhú jiàn 
grain; granule; classifier for small round things (peas, bullets, peanuts, pills, grains etc)	粒 lì 
grammar	语法 yǔ fǎ 
grand; imposing; magnificent; majestic	雄伟 xióng wěi 
grand; imposing; magnificent	宏伟 hóng wěi 
grand; prosperous; ceremonious; solemn	隆重 lóng zhòng 
grandson (paternal)	孙子 sūn zi 
grape	葡萄 pú tao 
grass; straw; manuscript; draft (of a document); careless; rough; CL:棵[ke1] ,撮[zuo3] ,株[zhu1] ,根[gen1]	草 cǎo 
grave; solemn; dignified	庄重 zhuāng zhòng 
grease; greasy food; oily; rich (of food); fatty; greasy and dirty; a slippery character	油腻 yóu nì 
great effort; to strive; to try hard	努力 nǔ lì 
great kindness; magnificent hospitality	盛情 shèng qíng 
great waves; billows;	波涛 bō tāo 
green or blue; nature's color; greenish black; abbr. for Qinghai province 青海	青 qīng 
green	绿 lv4 
grieved; sorrowful	悲哀 bēi āi 
grim; severe; rigorous	严峻 yán jùn 
grim; unfeeling; callous	冷酷 lěng kù 
group; bloc; corporation; conglomerate	集团 jí tuán 
group; crowd; flock; herd; pack	群 qún 
group; organization; team; CL:个	团体 tuán tǐ 
guarantee; to guarantee; to ensure; to safeguard; to pledge; CL:个	保证 bǎo zhèng 
guesthouse; CL:个,家[jia1]	宾馆 bīn guǎn 
guided missile; cruise missile; missile; CL:枚[mei2]	导弹 dǎo dàn 
guide	向导 xiàng dǎo 
gun; firearm; rifle; spear; CL:支[zhi1] ,把[ba3]	枪 qiāng 
gunpowder	火药 huǒ yào 
habit; custom; usual practice; to be used to; CL:个	习惯 xí guàn 
habitually in the past; as one used to do formerly; as it used to be	往常 wǎng cháng 
haggle over price	讨价还价 tǎo jià huán jià 
hail; hailstone; CL:场[chang2] ,粒[li4]	冰雹 bīng báo 
hair; feather; down	毛 máo 
hair (on the head)	头发 tóu fa 
half; semi-; incomplete; (after a number) and a half	半 bàn 
hammer; to hammer into shape; weight (e.g. of a steelyard or balance)	锤 chuí 
handicraft article; handiwork; CL:个	工艺品 gōng yì pǐn 
handle; grip; knob	把手 bǎ shǒu 
handsome; brilliant; smart	英俊 yīng jùn 
handsome; graceful; smart; commander in chief	帅 shuài 
handwork; manual	手工 shǒu gōng 
happiness; happy; blessed; well-being	幸福 xìng fú 
happy and excited (idiom); in high spirits; in great delight	兴高采烈 xīng gāo cǎi liè 
happy; blissful	美满 měi mǎn 
happy; cheerful	快活 kuài huo 
happy; entirely free from worry	舒畅 shū chàng 
happy; glad; willing (to do sth); in a cheerful mood	高兴 gāo xìng 
happy; joyous	喜悦 xǐ yuè 
happy; merry	快乐 kuài lè 
hard; able (person); stiff; strong; firm; to manage to do sth with difficulty; good (quality); able (person)	硬 yìng 
hard; exhausting; with much toil; thanks for your trouble	辛苦 xīn kǔ 
hard; solid	坚硬 jiān yìng 
hard to avoid; difficult to escape from	难免 nán miǎn 
hard to take; embarrassed	难堪 nán kān 
hardware	硬件 yìng jiàn 
hardworking and frugal	勤俭 qín jiǎn 
hardworking; assiduous	刻苦 kè kǔ 
hardworking; diligent	勤奋 qín fèn 
hardworking; industrious; diligent	勤劳 qín láo 
hardworking; industrious	辛勤 xīn qín 
hare; rabbit; CL:只[zhi1]	兔子 tù zi 
harmonious; friendly relations; on good terms with one another	融洽 róng qià 
harmonious; harmony	调和 tiáo hé 
harmonious	和谐 hé xié 
harvest; results; gains	收获 shōu huò 
hastily	急忙 jí máng 
hasty; hurried	匆忙 cōng máng 
hat; cap; CL:顶[ding3]	帽子 mào zi 
hatred; injustice; bad luck; unjust treatment; wronged; not worthwhile	冤枉 yuān wang 
have a get-together	联欢 lián huān 
have a high temperature (from illness); have a fever	发烧 fā shāo 
have bad luck; be out of luck	倒霉 dǎo méi 
have no choice or option but to; cannot but; have to; can't help it; can't avoid	不得不 bù dé bù 
haven't; hasn't; doesn't exist; to not have; to not be;	没有 méi yǒu 
having lived through many changes	饱经沧桑 bǎo jīng cāng sāng 
head; chief; first (occasion, thing etc); classifier for poems and songs	首 shǒu 
head of state	元首 yuán shǒu 
head; skull; brain; mental capability; CL:颗[ke1] ,个	脑袋 nǎo dài 
heal; the more...the more; to recover; better	愈 yù 
health; healthy	健康 jiàn kāng 
healthy environment; healthy atmosphere; righteousness; vital energy (in Chinese medicine)	正气 zhèng qì 
heartening (news); boost (morale); CL:个	鼓舞 gǔ wǔ 
heartfelt; wholehearted; cordial	衷心 zhōng xīn 
heart (lit. and fig.); CL:颗[ke1] ,个	心脏 xīn zàng 
heart's blood; expenditure (for some project); meticulous care	心血 xīn xuè 
heat; to heat up; fervent; hot (of weather); warm up	热 rè 
heavy drinking; to get drunk; to drink to excess	酗酒 xù jiǔ 
heavy; hard; serious; critical	沉重 chén zhòng 
heavy; serious	重 zhòng 
height above sea level; elevation	海拔 hǎi bá 
height; stature; build; size	个子 gè zi 
hello (interj., esp. on telephone); hey	喂 wèi 
he or him; (used for either sex when the sex is unknown or unimportant); (used before sb's name for emphasis); (used as a meaningless mock object); other; another	他 tā 
heredity; inheritance; to transmit	遗传 yí chuán 
heritage; legacy; inheritance; bequest; CL:笔[bi3]	遗产 yí chǎn 
hero; heroic; CL:个	英雄 yīng xióng 
hey!; (interjection used to attract attention or to express surprise or disapprobation);	哎 āi 
hey	嘿 hēi 
hierarchy; stratum	阶层 jiē céng 
higher authorities; superiors; CL:个	上级 shàng jí 
high level; high grade; advanced; high-ranking	高级 gāo jí 
high; tall; above average; loud; your (honorific); surname Gao	高 gāo 
high tide; high water; upsurge; climax; orgasm; chorus (part of a song)	高潮 gāo cháo 
hills	丘陵 qiū líng 
historical sites and scenic spots	名胜古迹 míng shèng gǔ jì 
history; antecedents; origin	来历 lái lì 
History; CL:门[men2] ,段[duan4]	历史 lì shǐ 
holiday; festival; CL:个	节日 jié rì 
hollow; emptiness; meaningless	空虚 kōng xū 
home; family; classifier for families or businesses; refers to the philosophical schools of pre-Han China; noun suffix for specialists in some activity such as musician or revolutionary, corresponds to English -ist, -er, -ary or -ian; surname Jia; CL:个[ge4]	家 jiā 
home; homeland; native place; CL:个	故乡 gù xiāng 
hometown; native place; CL:个	家乡 jiā xiāng 
honest; forthcoming; to confess	坦白 tǎn bái 
honest; honesty; honorable; truthful	诚实 chéng shí 
honest; not coercive; honesty; integrity; incorruptible	廉洁 lián jié 
honest; reasonable; fair; sensible; timely; just (when needed)	正当 zhèng dāng 
honest; sincere; open and guileless; naive	老实 lǎo shi 
honor and glory; CL:个	光荣 guāng róng 
honor; credit; glory; (honorable) reputation	荣誉 róng yù 
honored	荣幸 róng xìng 
(honorific) Welcome!; You honor us with your presence.; It is an honor to have you.	光临 guāng lín 
hoodlum; rascal; rogue; rascally; scoundrelly	无赖 wú lài 
hook	钩子 gōu zi 
hope; expectation	期望 qī wàng 
horizontal; across; (horizontal character stroke)	横 héng 
horn; angle; corner ; horn-shaped; unit of money equal to 0.10 yuan; CL:个	角 jiǎo 
horn (automobile, alarm siren, musical etc) which produces a sound; loudspeaker; brass wind instrument; trumpet; suona 鎖锁呐[suo3 na4]	喇叭 lǎ ba 
horse; abbr. for Malaysia,CL:匹	马 mǎ 
hospital; CL:所[suo3] ,家[jia1] ,座[zuo4]	医院 yī yuàn 
hospitality; to treat guests well; to enjoy having guests; hospitable; friendly	好客 hào kè 
hostage	人质 rén zhì 
hostile; malevolence; antagonism; to view as enemy; to stand against	敌视 dí shì 
host; official host (e.g. venue for games or a conference)	东道主 dōng dào zhǔ 
hot pepper; chili	辣椒 là jiāo 
hot (spicy); pungent	辣 là 
hour; CL:个	小时 xiǎo shí 
household dish, implement or furniture; domestic animal; guy (slang); chap	家伙 jiā huo 
household duties; housework	家务 jiā wù 
house pet	宠物 chǒng wù 
house; room; CL:间[jian1]	屋子 wū zi 
house with more than 1 story; storied building; floor; CL:层[ceng2] ,座[zuo4] ,栋[dong4]	楼 lóu 
how are things? how?; how about?; how was it?	怎么样 zěn me yàng 
how can this be so? (idiom); preposterous; ridiculous; absurd	岂有此理 qǐ yǒu cǐ lǐ 
however; yet; but	然而 rán ér 
how much; how many; several; a few	几 jǐ 
how much; how many	多少 duō shǎo 
how?; what?; why?	怎么 zěn me 
how (wonderful etc); what (a great idea etc); however (difficult it may be etc)	多么 duō me 
hubbub; clamor; to make a racket;	喧哗 xuān huá 
huge; enormous; tremendous	庞大 páng dà 
huge; great; mighty; large	伟大 wěi dà 
huge; immense; very large; tremendous; gigantic; enormous	巨大 jù dà 
(human) body; health; CL:个	身体 shēn tǐ 
humanity; human race; mankind	人类 rén lèi 
human life	人生 rén shēng 
human nature; humanity; human; the totality of human attributes	人性 rén xìng 
human resources; personnel; human affairs; ways of the world; consciousness of the world; what is humanly possible; personnel matters; sexual awareness; sexual passion; facts of life	人事 rén shì 
human sympathy; humanitarianism; humane; the 'human way', one of the stages in the cycle of reincarnation (Buddhism); sexual intercourse	人道 rén dào 
humble; humility; modesty	谦逊 qiān xùn 
humor; humorous	幽默 yōu mò 
humor; wit; humorous; witty	风趣 fēng qù 
hundred; numerous; all kinds of; surname Bai	百 bǎi 
hunger; starvation; famine	饥饿 jī è 
hurricane; typhoon	台风 tái fēng 
husband; CL:个	丈夫 zhàng fu 
hypothesis; conjecture; suppose that	假设 jiǎ shè 
icebox; freezer cabinet; refrigerator; CL:台[tai2] ,个	冰箱 bīng xiāng 
ice cream;	冰激凌 bīng jī líng 
idea; opinion; meaning; wish; desire; CL:个	意思 yì si 
identical; same	相同 xiāng tóng 
idle; free time; leisure	空闲 kòng xián 
idle; lazy	懒惰 lǎn duò 
idol; false god	偶像 ǒu xiàng 
if; in case; in the event that	如果 rú guǒ 
if not; otherwise; else; or else	否则 fǒu zé 
if only; so long as	只要 zhǐ yào 
if	要是 yào shi 
ignorance	无知 wú zhī 
ignorant; to have no knowledge of sth	茫然 máng rán 
ignorant; uneducated	愚昧 yú mèi 
illegal	非法 fēi fǎ 
illumination; light; radiance (esp. glory of Buddha etc); fig. bright prospect; openhearted	光明 guāng míng 
image; form; figure; visualization; vivid; CL:个	形象 xíng xiàng 
I; me; my	我 wǒ 
immediately; at once;	赶快 gǎn kuài 
immediately; presently; following which	随即 suí jí 
immediately	立即 lì jí 
immunity (to disease)	免疫 miǎn yì 
impatience; impatient	不耐烦 bú nài fán 
impatient (idiom); in a hurry; itching to get on with it	迫不及待 pò bù jí dài 
imperceptible influence; to influence secretly	潜移默化 qián yí mò huà 
imperial or royal court; government; dynasty; reign of a sovereign or emperor; court or assembly held by a sovereign or emperor; to make a pilgrimage to; facing; towards	朝 cháo 
impetus; impulse; emotional impulse; impulsive	冲动 chōng dòng 
implement; carry out; to execute; to run	执行 zhí xíng 
important; great; major; significant;	重大 zhòng dà 
important; significant; major	重要 zhòng yào 
(impose a) fine; penalty; fine (monetary)	罚款 fá kuǎn 
impotent (idiom); powerless; helpless	无能为力 wú néng wéi lì 
impoverished; poverty	贫困 pín kùn 
impression; reflection; perception; CL:个	印象 yìn xiàng 
impressions; reflections; thoughts; CL:通[tong4] ,个	感想 gǎn xiǎng 
improve	改良 gǎi liáng 
I'm sorry; excuse me; pardon me; if you please; sorry? (please repeat); unworthy; to let down;	对不起 duì bu qǐ 
in a difficult situation; to cut a sorry figure; scoundrel! (derogatory)	狼狈 láng bèi 
in advance; before the event; beforehand; prior	事先 shì xiān 
in all places; everywhere	到处 dào chù 
in a word; in short; in brief	总之 zǒng zhī 
in case (sth happens); if; once (sth happens, then...); when; in a short time; in one day	一旦 yí dàn 
incessantly; without end; more than; not limited to	不止 bù zhǐ 
in charge; responsible for	主管 zhǔ guǎn 
incidentally; occasional; occasionally; by chance; randomly	偶然 ǒu rán 
inclined; slanting; oblique; tilting	斜 xié 
inconceivable (idiom); unimaginable; unfathomable	不可思议 bù kě sī yì 
in confusion or disorder; in a confused state of mind; disorder; upheaval; riot; illicit sexual relations; to throw into disorder; to mix up; indiscriminate; random; arbitrary	乱 luàn 
inconvenient; troublesome; to trouble or bother sb; to put sb to trouble	麻烦 má fan 
indeed; really; reliable; real; true	确实 què shí 
independent; independence; to stand alone	独立 dú lì 
(indicates that sth turns out just the opposite of what one would expect or what would be normal); unfortunately; against expectations	偏偏 piān piān 
indirect	间接 jiàn jiē 
individuality; personality	个性 gè xìng 
individual; personal; oneself	个人 gè rén 
individual; specific; respective; just one or two	个别 gè bié 
individual	个体 gè tǐ 
industry; business	行业 háng yè 
industry; CL:种[zhong3]	工业 gōng yè 
industry; estate; property; industrial	产业 chǎn yè 
in every possible way (idiom); meticulous	无微不至 wú wēi bù zhì 
inevitable; certain; necessity	必然 bì rán 
infant; baby; CL:个; lead (Pb)	婴儿 yīng ér 
infection; to infect; to influence	感染 gǎn rǎn 
inflamed from infection or injury; inflammation	发炎 fā yán 
inflation	通货膨胀 tōng huò péng zhàng 
influence; effect; to influence; to affect (usually adversely); to disturb; CL:股[gu3]	影响 yǐng xiǎng 
(informal) father's father; paternal grandfather; CL:个	爷爷 yé ye 
(informal) father's mother; paternal grandmother; CL:位[wei4]	奶奶 nǎi nai 
(informal) mother's mother; maternal grandmother	姥姥 lǎo lao 
(informal) note; CL:张[zhang1] ,个	便条 biàn tiáo 
(informal) older brother's wife; sister-in-law; CL:个	嫂子 sǎo zi 
information; news; message	信息 xìn xī 
in front of; close to; nearby; the time just before	跟前 gēn qián 
in general; more or less; in rough terms; basically; on the whole	大体 dà tǐ 
ingenious; clever	巧妙 qiǎo miào 
initial; preliminary; tentative	初步 chū bù 
in itself; per se; itself	本身 běn shēn 
injection; to inject	注射 zhù shè 
ink; CL:瓶[ping2]	墨水儿 mò shuǐ r 
in keeping with; in accordance with; tallying with; in line with; to agree with; to accord with; to conform to; to correspond with; to manage; to handle	符合 fú hé 
innate; natural	天生 tiān shēng 
inner quality; basic essence; change over time	素质 sù zhì 
innocent; innocence; not guilty (law);	无辜 wú gū 
in normal times; in peacetime	平时 píng shí 
innovation; to bring forth new ideas; to blaze new trails	创新 chuàng xīn 
in one's spare time; outside working hours; amateur; non professional; extra-curricular	业余 yè yú 
in order to avoid; so as not to	以免 yǐ miǎn 
in order to; for the purpose of; so as to	为了 wèi le 
inquisitive; curious	好奇 hào qí 
in reality; honestly; really; verily; concrete	实在 shí zài 
(in) return; reciprocation; payback; retaliation; to report back; to reciprocate	回报 huí bào 
insect; CL:只[zhi1] ,群[qun2] ,堆[dui1]	昆虫 kūn chóng 
in sequence, step by step (idiom); to make steady progress incrementally	循序渐进 xún xù jiàn jìn 
in short; in a word; in brief	总而言之 zǒng ér yán zhī 
inside; inner; internal; within; interior	内 nèi 
inside; lining; interior; internal	里 lǐ 
inside story; non-public information; behind the scenes; internal	内幕 nèi mù 
in silence; not speaking	默默 mò mò 
insipid; diluted; weak; mild; light in color; tasteless; fresh; indifferent; nitrogen	淡 dàn 
inspection; to examine; to inspect; CL:次[ci4]	检查 jiǎn chá 
inspiration; insight; a burst of creativity in scientific or artistic endeavor	灵感 líng gǎn 
in spite of; regardless of	不顾 bú gù 
instance; example	比方 bǐ fang 
instead; on the contrary; contrary (to expectations)	反而 fǎn ér 
instead; to replace; to substitute (X for Y, or a number in an algebraic expression)	代替 dài tì 
instinct	本能 běn néng 
instructor; sports coach; trainer; CL:个,位[wei4] ,名[ming2]	教练 jiào liàn 
instrument; apparatus; CL:台[tai2]	仪器 yí qì 
insufficient; lacking; deficiency; not enough; inadequate; not worth; cannot; should not	不足 bù zú 
insurance; to insure; safe; secure; be sure; be bound to; CL:份[fen4]	保险 bǎo xiǎn 
intact; complete	完整 wán zhěng 
intellectual; knowledge-related; knowledge; CL:门[men2]	知识 zhī shi 
intelligence; intellect	智力 zhì lì 
intelligent; able; smart (phone, system, bomb etc)	智能 zhì néng 
intense; acute; fierce	激烈 jī liè 
intense; (violently) strong	强烈 qiáng liè 
intent; intention; intend; schematic diagram	意图 yì tú 
intentional; deliberate; on purpose	成心 chéng xīn 
interest; hobby; appetite for; CL:个	爱好 ài hào 
interesting; fascinating; amusing	有趣 yǒu qù 
interest (on a loan); CL:笔[bi3]	利息 lì xī 
interior; inside (part, section); internal;	内部 nèi bù 
(interjection to express agreement or recognition); to sigh	唉 āi 
international	国际 guó jì 
Internet; network (computing, telecommunications, transport etc)	网络 wǎng luò 
interrelated; correlation; dependence; relevance; mutuality	相关 xiāng guān 
in the end; after all is said and done	终究 zhōng jiū 
in the evening; CL:个	晚上 wǎn shang 
in the evening; when night falls; towards evening; at night fall; at dusk	傍晚 bàng wǎn 
in the future; future; the future; CL:个	将来 jiāng lái 
in the past; formerly	以往 yǐ wǎng 
(in the) past; former; previous; to go over; to pass by	过去 guò qu 
in the process of (doing something or happening); while (doing)	正在 zhèng zài 
in the right and self-confident (idiom); bold and confident with justice on one's side; to have the courage of one's convictions; just and forceful	理直气壮 lǐ zhí qì zhuàng 
(in the) vicinity; nearby; neighboring; next to	附近 fù jìn 
intimate; close;	亲密 qīn mì 
in time; promptly; without delay; timely	及时 jí shí 
intoxicated; drunk; addicted to	醉 zuì 
intrinsic; innate	内在 nèi zài 
intrinsic to sth; inherent; native	固有 gù yǒu 
in turn; successively; one after the other; bit by bit	陆续 lù xù 
invasion; encroachment	侵略 qīn lvè 
investigate; look into	追究 zhuī jiū 
investigation; inquiry; to investigate; to survey; survey; (opinion) poll; CL:项[xiang4] ,个	调查 diào chá 
investment; to invest	投资 tóu zī 
in view of; seeing that; considering; whereas	鉴于 jiàn yú 
invitation card; written invitation	请帖 qǐng tiě 
invitation card; written invitation	请柬 qǐng jiǎn 
in vogue; fashionable	时髦 shí máo 
invoice; receipt or bill for purchase	发票 fā piào 
in writing; written (guarantee etc)	书面 shū miàn 
IQ (intelligence quotient)	智商 zhì shāng 
irrigation ditch; medium or channel of communication	渠道 qú dào 
irritable; irascible; impetuous	急躁 jí zào 
is bound to (happen)	势必 shì bì 
Islamic; Muslim; halal (of food); clean; pure	清真 qīng zhēn 
island	岛屿 dǎo yǔ 
isolate; isolated	孤立 gū lì 
it can clearly be seen (that this is the case); it is (thus) clear; clear; visible	可见 kě jiàn 
it doesn't matter	没关系 méi guān xi 
item; component; classifier for events, things, clothes etc	件 jiàn 
item; project; sports event; CL:个	项目 xiàng mù 
it goes without saying; it is self-evident	不言而喻 bù yán ér yù 
(it) hurts; love fondly; ache; pain; sore	疼 téng 
it (inanimate thing or animal)	它 tā 
it is a pity; what a pity; (it's) too bad	可惜 kě xī 
it is said that; reportedly	据说 jù shuō 
it's just perfect; it's just right	恰到好处 qià dào hǎo chù 
(it's) no wonder (that...); (it's) not surprising (that)	难怪 nán guài 
jade	玉 yù 
jeans; CL:条[tiao2]	牛仔裤 niú zǎi kù 
jeer; mockery; scoff; sneer; make fun of; laugh at (derogatory)	嘲笑 cháo xiào 
jet-black; dark	乌黑 wū hēi 
jet lag; time lag; jet lag	时差 shí chā 
jewelry; head ornament;	首饰 shǒu shì 
job; work; construction; task; CL:个[ge4] ,份[fen4] ,项[xiang4]	工作 gōng zuò 
joint photo; group photo	合影 hé yǐng 
joke; jest; CL:个	笑话 xiào huà 
judgment (by a court of law)	判决 pàn jué 
judgment; to referee; umpire; judge; referee; CL:个,位[wei4] ,名[ming2]	裁判 cái pàn 
judicial; (administration of) justice	司法 sī fǎ 
junior; primary	初级 chū jí 
just as in the past (idiom); as before; continuing as always	一如既往 yī rú jì wǎng 
just; barely; exactly; hard; firm; strong	刚 gāng 
just (emphasis); at once; right away; only; as early as; already; as soon as; then; in that case; as many as; even if; to approach; to move towards; to undertake; to engage in; to suffer; subjected to; to accomplish; to take advantage of; to go with (of foods); with regard to; concerning	就 jiù 
just; fair; equitable	公正 gōng zhèng 
justice; fairness; public highway	公道 gōng dào 
justice; righteous; righteousness	正义 zhèng yì 
just in case; if by any chance; contingency	万一 wàn yī 
just (in time); just right; just enough; to happen to; to chance to; by chance; it just so happens that	正好 zhèng hǎo 
just now; a moment ago	刚才 gāng cái 
keen; sharp; acute	敏锐 mǐn ruì 
keyboard	键盘 jiàn pán 
key; CL:把[ba3]	钥匙 yào shi 
kilogram (kg)	公斤 gōng jīn 
kilometer	公里 gōng lǐ 
kindergarten; nursery school	幼儿园 yòu ér yuán 
kind; genus; type; category; variety; species; sort; class;	种类 zhǒng lèi 
kindly; benevolent (often of older person)	慈祥 cí xiáng 
kindly; nice; amiable	和蔼 hé ǎi 
kind; sort; type	种 zhǒng 
king; CL:個|个[ge4];	国王 guó wáng 
kitchen; CL:间[jian1]	厨房 chú fáng 
kneel	跪 guì 
knee	膝盖 xī gài 
knife; CL:把[ba3]	刀 dāo 
knotty; troublesome; bothersome	伤脑筋 shāng nǎo jīn 
knowledge gained; CL:个	心得 xīn dé 
laboratory test; chemical experiment; assay	化验 huà yàn 
lack; incomplete	贫乏 pín fá 
lack; shortage of; shortfall; to be short (of); to lack	缺少 quē shǎo 
lady; madam; CL:个,位[wei4]	女士 nv3 shì 
lady; madam; Mrs.; CL:位[wei4]	夫人 fū ren 
lad; young fellow; young man; young guy; youngster; CL:个	小伙子 xiǎo huǒ zi 
lair; nest; den; hideout;	巢穴 cháo xué 
lake	湖泊 hú pō 
lament; with a tinge of emotion or regret	感慨 gǎn kǎi 
lame	瘸 qué 
lamp; light; lantern; CL:盏[zhan3]	灯 dēng 
landlord	房东 fáng dōng 
lane; alley; CL:条[tiao2]	胡同 hú tòng 
lane; alley	巷 xiàng 
language; CL:门[men2] ,种[zhong3]	语言 yǔ yán 
Lantern festival; the final event of the Spring festival 春春节, on 15th of first month of the lunar calendar	元宵节 yuán xiāo jié 
lantern	灯笼 dēng lóng 
lapse; mistake; to make a mistake; fault; service fault (in volleyball, tennis etc)	失误 shī wù 
large building; edifice; mansion; CL:座[zuo4]	大厦 dà shà 
large place used for a specific purpose; stage; scene (of a play); threshing floor; classifier for sporting or recreational activities; classifier for number of exams	场 chǎng 
large scale; wide scale; broad scale	大型 dà xíng 
lasting; enduring; persistent; permanent; protracted; endurance; persistence; to last long	持久 chí jiǔ 
last year	去年 qù nián 
lateral side; side; aspect; profile	侧面 cè miàn 
lateral; side; to the side; beside	旁边 páng biān 
laugh; smile; CL:个	笑 xiào 
laughter; yawn; abbr. for Kazakhstan	哈 hā 
law and order; public security	治安 zhì ān 
law case; legal case; judicial case; CL:宗[zong1] ,桩[zhuang1] ,起[qi3]	案件 àn jiàn 
law; CL:条[tiao2] , 套[tao4] , 个	法律 fǎ lv4 
lawful; legitimate; legal	合法 hé fǎ 
lawsuit	诉讼 sù sòng 
lawyer	律师 lv4 shī 
layer; stratum; laminated; floor (of a building); storey; classifier for layers; repeated; sheaf (math.)	层 céng 
layman; amateur	外行 wài háng 
lazy	懒 lǎn 
lead; command; head	率领 shuài lǐng 
leader; CL:个,位[wei4] ,名[ming2]	领袖 lǐng xiù 
leading scholar of his time; magnate	泰斗 tài dǒu 
(lead) pencil; CL:支[zhi1] ,枝[zhi1] ,杆[gan3]	铅笔 qiān bǐ 
leaflet; flier; pamphlet	传单 chuán dān 
learning; knowledge; academic; CL:个	学问 xué wèn 
learning; science; academic; CL:个	学术 xué shù 
leather; CL:张[zhang1]	皮革 pí gé 
leather shoes	皮鞋 pí xié 
(leave or be a) legacy; left over; hand down (to next generation)	遗留 yí liú 
lecture; to make a speech	演讲 yǎn jiǎng 
left; the left side; to the left of	左边 zuǒ bian 
legal person; corporation; see also 自然自然人[zi4 ran2 ren2]	法人 fǎ rén 
leg; CL:条[tiao2]	腿 tuǐ 
legend; folklore; tradition; it is said; they say that...	传说 chuán shuō 
leisure; relaxation; not working; idle	休闲 xiū xián 
lenient; tolerant; indulgent; charitable; to forgive;	宽容 kuān róng 
letter; character; word; symbol; CL:个[ge4]	字 zì 
letter (of the alphabet); alphabet; CL:个	字母 zì mǔ 
level; even; smooth; flat	平坦 píng tǎn 
level (of achievement etc); standard; horizontal	水平 shuǐ píng 
lever; pry bar; crowbar; financial leverage	杠杆 gàng gǎn 
library; CL:家[jia1] ,个	图书馆 tú shū guǎn 
license; permit	执照 zhí zhào 
lid; to cover; canopy; to build	盖 gài 
life; activity; to live; livelihood	生活 shēng huó 
life force; vitality;	生意 shēng yì 
life; living; biological; CL:个	生命 shēng mìng 
lifelong; all one's life; marriage	终身 zhōng shēn 
life span; life expectancy	寿命 shòu mìng 
life	性命 xìng mìng 
lightning; CL:道[dao4]	闪电 shǎn diàn 
light (not heavy); light; easy; gentle; soft; reckless; unimportant; frivolous; small in number; unstressed; neutral	轻 qīng 
light (of food, not greasy or strongly flavored); insipid; slack (sales)	清淡 qīng dàn 
light (ray); light; ray; CL:道[dao4]; bright; only; merely; to use up	光 guāng 
limit; extreme boundary	极限 jí xiàn 
limit; range; scope; extent; CL:个	范围 fàn wéi 
limit	局限 jú xiàn 
line of sight	视线 shì xiàn 
(line of) thought; thinking	思维 sī wéi 
lion	狮子 shī zi 
lip; CL:片[pian4]	嘴唇 zuǐ chún 
liquid	液体 yè tǐ 
lit. actual location; the scene (of the incident); on-the-spot	现场 xiàn chǎng 
lit. crow and peacock make no sound; absolute silence (idiom); not a single voice can be heard; absolute silence;	鸦雀无声 yā què wú shēng 
lit. draw legs on a snake (idiom); fig. to ruin the effect by adding sth superfluous; to overdo it	画蛇添足 huà shé tiān zú 
literature and art	文艺 wén yì 
literature; CL:种[zhong3]	文学 wén xué 
lit. I dare not (accept the honor); fig. I don't deserve your praise; you flatter me	不敢当 bù gǎn dāng 
lit. new bud; fig. new and original	新颖 xīn yǐng 
lit. on brocade, add flowers (idiom); to decorate sth already perfect; gilding the lily;	锦上添花 jǐn shàng tiān huā 
lit. proper behavior is based on reciprocity (idiom); fig. to return politeness for politeness;	礼尚往来 lǐ shàng wǎng lái 
lit. thousand ways, a hundred plans (idiom); by every possible means	千方百计 qiān fāng bǎi jì 
lit. warp and weft in weaving; vertically and horizontal; length and breadth; criss-crossed; able to move unhindered; abbr. for 合縱連合纵连横[He2 zong4 Lian2 heng2] , School of Diplomacy during the Warring States Period (475 - 221 BC)	纵横 zòng héng 
lit. you can't blame it!; no wonder!; so that's why!	怪不得 guài bu de 
live broadcast (not recorded); direct internet broadcasting	直播 zhí bō 
lively; vivacious; brisk; active	活泼 huó po 
local conditions and customs (idiom)	风土人情 fēng tǔ rén qíng 
local flavor; local style	风味 fēng wèi 
