ability; competence	才干 cái gàn 
explosion; to explode; to blow up; to detonate	爆炸 bào zhà 
exposition; international fair	博览会 bó lǎn huì 
exposure (e.g. of photosensitive material); to expose (a scandal to the public)	曝光 bào guāng 
expression; manner; spirited; vigorous	神气 shén qì 
expression or emotion showing in one's eyes; meaningful glance; wink; eyesight (topolect)	眼神 yǎn shén 
external; outside; outward appearance	外表 wài biǎo 
extra; added; additional	额外 é wài 
extreme	极端 jí duān 
eyes brimming with tears of excitement (idiom); extremely moved	热泪盈眶 rè lèi yíng kuàng 
fable; CL:则[ze2]	寓言 yù yán 
faith; belief; conviction	信念 xìn niàn 
faithful	忠实 zhōng shí 
false; hypocritical; artificial; sham	虚伪 xū wěi 
false; phony; pretense	虚假 xū jiǎ 
fame; reputation; honor; honorary; emeritus (of retired professor)	名誉 míng yù 
family background; class origin	出身 chū shēn 
family member; (family) dependent	家属 jiā shǔ 
fantastic; wonderful	奇妙 qí miào 
farm crop; CL:種|种[zhong3];	庄稼 zhuāng jià 
fascinating; enchanting; charming; tempting	迷人 mí rén 
father's father; paternal grandfather	祖父 zǔ fù 
faucet; tap	水龙头 shuǐ lóng tóu 
faultless; complete; perfect; to leave nothing to be desired	完备 wán bèi 
fear; dread; phobia	恐惧 kǒng jù 
fears of trouble in the rear (idiom); family worries (obstructing freedom of action); worries about the future consequences; often in negative expressions, meaning 'no worries about anything'	后顾之忧 hòu gù zhī yōu 
feasible; earnestly; conscientiously; realistic; practical	切实 qiè shí 
feasible	可行 kě xíng 
feel embarrassed or awkward; to make things difficult (for someone); to find things difficult (to do or manage)	为难 wéi nán 
feeling inferior; self-abased	自卑 zì bēi 
(feeling of) resentment; (longstanding) grudge	恩怨 ēn yuàn 
fertile	肥沃 féi wò 
fertilizer	化肥 huà féi 
fiber; CL:种[zhong3]	纤维 xiān wéi 
field of view; horizon	视野 shì yě 
field; open land; CL:片[pian4]	田野 tián yě 
field; plain; CL:个	平原 píng yuán 
fierce; ferocious; fiendish; frightening	凶恶 xiōng è 
fierce; violent (criticism etc)	猛烈 měng liè 
fight over; contest; vie over	争夺 zhēng duó 
file; record; archive; Taiwan pr. dang3 an4	档案 dàng àn 
filthy; vulgar; debased	庸俗 yōng sú 
finances (public); financial	财政 cái zhèng 
financial affairs	财务 cái wù 
(financial) deficit; red letter	赤字 chì zì 
find a place for; help settle down; arrange for; to get into bed; placement	安置 ān zhì 
fine food; delicacies; delicious food	佳肴 jiā yáo 
fine powder; dust	粉末 fěn mò 
fingernail	指甲 zhǐ jia 
fire-fighting; fire control	消防 xiāo fáng 
fireworks and crackers	烟花爆竹 yān huā bào zhú 
firm and substantial; solid	坚实 jiān shí 
firm; decisive	果断 guǒ duàn 
firm; firmly; hard; stable	坚固 jiān gù 
firmly; resolutely; without hesitation	毅然 yì rán 
firm; secure	牢固 láo gù 
firm; steady; staunch; resolute	坚定 jiān dìng 
first month of the lunar year	正月 zhēng yuè 
first; original; primitive; original (document etc)	原始 yuán shǐ 
fisherman; fisher folk	渔民 yú mín 
fishy (smell)	腥 xīng 
fist; clenched fist; competitive (product); superior quality; CL: 个	拳头 quán tou 
fixed number of people; quota	名额 míng é 
flabbergasted; astonished	诧异 chà yì 
flat; (old form of character 匾, horizontal tablet with inscription)	扁 biǎn 
flexibility; elasticity (physics)	弹性 tán xìng 
flicker; twinkling	闪烁 shǎn shuò 
flourishing; bustling	繁华 fán huá 
fly	飞翔 fēi xiáng 
foam; (soap) bubble; (economic) bubble	泡沫 pào mò 
focus; focal point	焦点 jiāo diǎn 
food and drink	饮食 yǐn shí 
for a time; at one time; one time; once	一度 yí dù 
foreground; vista; (future) prospects; perspective	前景 qián jǐng 
for example; for instance; such as	譬如 pì rú 
forgetful; scatterbrained	丢三落四 diū sān là sì 
forgiveness; spare	饶恕 ráo shù 
fork in road; bifurcation; branch in road, river, mountain range etc; to branch off; to turn off; to diverge; to stray (from the path); to change the subject; to interrupt; to stagger (times)	岔 chà 
formerly; in olden days	昔日 xī rì 
former; original	原先 yuán xiān 
form; specification; format	格式 gé shì 
formula	公式 gōng shì 
for now; for the time being; temporarily	暂且 zàn qiě 
fortunately; unexpectedly; by coincidence	恰巧 qià qiǎo 
fortunate timing; occasion; opportunity	时机 shí jī 
forum (for discussion)	论坛 lùn tán 
fossil	化石 huà shí 
fountainhead; well-spring; water source; fig. origin	源泉 yuán quán 
fourth of 10 heavenly stems 十天干; man; members of a family	丁 dīng 
fragmentary; random; bits and pieces; sporadic	零星 líng xīng 
frame; framework; fig. pattern; outline; organizing plan	框架 kuàng jià 
free; no charge; at no cost	无偿 wú cháng 
frequency	频率 pín lv4 
frequently; often	不时 bù shí 
frequently; often	频繁 pín fán 
friction; rubbing; chafing; fig. disharmony; conflict; same as 磨擦	摩擦 mó cā 
friendly; polite; amiable	和气 hé qi 
frontier; border	边境 biān jìng 
full of youthful energy (idiom); vigorous; energetic; a bright spark	朝气蓬勃 zhāo qì péng bó 
function; performance	性能 xìng néng 
function; role	职能 zhí néng 
funds; expenditure; CL:笔[bi3]	经费 jīng fèi 
fund	基金 jī jīn 
fun; interest; delight; taste; liking; preference	趣味 qù wèi 
gaiety; gladness; glee; merriment; pleasure; happy; joyous; gay	欢乐 huān lè 
gardens; park; landscape garden	园林 yuán lín 
gaze	凝视 níng shì 
gene (loanword)	基因 jī yīn 
general idea; main idea	大意 dà yì 
general mood; atmosphere; common practice	风气 fēng qì 
generation; an era; accumulation of years; passing on from generation to generation	世代 shì dài 
genre; style; form of writing	体裁 tǐ cái 
gentleman	绅士 shēn shì 
gentle; soft	柔和 róu hé 
geology	地质 dì zhì 
gesture; sign; signal	手势 shǒu shì 
gift; innate skill	天赋 tiān fù 
give as a present; present as a gift	赠送 zèng sòng 
gluttonous; greedy; to have a craving	馋 chán 
good fortune; to enjoy good fortune	福气 fú qi 
goods and materials	物资 wù zī 
go on a journey; leave	动身 dòng shēn 
gorgeous	华丽 huá lì 
grade; class; quality; level	档次 dàng cì 
grain; granule; classifier for small round things (peas, bullets, peanuts, pills, grains etc)	粒 lì 
grand; imposing; magnificent; majestic	雄伟 xióng wěi 
grand; imposing; magnificent	宏伟 hóng wěi 
grand; prosperous; ceremonious; solemn	隆重 lóng zhòng 
grave; solemn; dignified	庄重 zhuāng zhòng 
grease; greasy food; oily; rich (of food); fatty; greasy and dirty; a slippery character	油腻 yóu nì 
great kindness; magnificent hospitality	盛情 shèng qíng 
great waves; billows;	波涛 bō tāo 
grieved; sorrowful	悲哀 bēi āi 
grim; severe; rigorous	严峻 yán jùn 
grim; unfeeling; callous	冷酷 lěng kù 
group; bloc; corporation; conglomerate	集团 jí tuán 
group; organization; team; CL:个	团体 tuán tǐ 
guided missile; cruise missile; missile; CL:枚[mei2]	导弹 dǎo dàn 
guide	向导 xiàng dǎo 
gunpowder	火药 huǒ yào 
habitually in the past; as one used to do formerly; as it used to be	往常 wǎng cháng 
hail; hailstone; CL:场[chang2] ,粒[li4]	冰雹 bīng báo 
hammer; to hammer into shape; weight (e.g. of a steelyard or balance)	锤 chuí 
handicraft article; handiwork; CL:个	工艺品 gōng yì pǐn 
handle; grip; knob	把手 bǎ shǒu 
happy and excited (idiom); in high spirits; in great delight	兴高采烈 xīng gāo cǎi liè 
happy; blissful	美满 měi mǎn 
happy; cheerful	快活 kuài huo 
happy; entirely free from worry	舒畅 shū chàng 
happy; joyous	喜悦 xǐ yuè 
hard; solid	坚硬 jiān yìng 
hard to take; embarrassed	难堪 nán kān 
hardworking and frugal	勤俭 qín jiǎn 
hardworking; industrious; diligent	勤劳 qín láo 
hardworking; industrious	辛勤 xīn qín 
harmonious; friendly relations; on good terms with one another	融洽 róng qià 
harmonious; harmony	调和 tiáo hé 
harmonious	和谐 hé xié 
hatred; injustice; bad luck; unjust treatment; wronged; not worthwhile	冤枉 yuān wang 
have a get-together	联欢 lián huān 
having lived through many changes	饱经沧桑 bǎo jīng cāng sāng 
head of state	元首 yuán shǒu 
heal; the more...the more; to recover; better	愈 yù 
healthy environment; healthy atmosphere; righteousness; vital energy (in Chinese medicine)	正气 zhèng qì 
heartfelt; wholehearted; cordial	衷心 zhōng xīn 
heart's blood; expenditure (for some project); meticulous care	心血 xīn xuè 
heavy drinking; to get drunk; to drink to excess	酗酒 xù jiǔ 
heavy; hard; serious; critical	沉重 chén zhòng 
height above sea level; elevation	海拔 hǎi bá 
heredity; inheritance; to transmit	遗传 yí chuán 
heritage; legacy; inheritance; bequest; CL:笔[bi3]	遗产 yí chǎn 
hey	嘿 hēi 
hierarchy; stratum	阶层 jiē céng 
higher authorities; superiors; CL:个	上级 shàng jí 
high tide; high water; upsurge; climax; orgasm; chorus (part of a song)	高潮 gāo cháo 
hills	丘陵 qiū líng 
history; antecedents; origin	来历 lái lì 
hollow; emptiness; meaningless	空虚 kōng xū 
home; homeland; native place; CL:个	故乡 gù xiāng 
honest; forthcoming; to confess	坦白 tǎn bái 
honest; not coercive; honesty; integrity; incorruptible	廉洁 lián jié 
honest; reasonable; fair; sensible; timely; just (when needed)	正当 zhèng dāng 
honor and glory; CL:个	光荣 guāng róng 
honor; credit; glory; (honorable) reputation	荣誉 róng yù 
honored	荣幸 róng xìng 
hoodlum; rascal; rogue; rascally; scoundrelly	无赖 wú lài 
hook	钩子 gōu zi 
hope; expectation	期望 qī wàng 
horizontal; across; (horizontal character stroke)	横 héng 
horn (automobile, alarm siren, musical etc) which produces a sound; loudspeaker; brass wind instrument; trumpet; suona 鎖锁呐[suo3 na4]	喇叭 lǎ ba 
hostage	人质 rén zhì 
hostile; malevolence; antagonism; to view as enemy; to stand against	敌视 dí shì 
host; official host (e.g. venue for games or a conference)	东道主 dōng dào zhǔ 
household dish, implement or furniture; domestic animal; guy (slang); chap	家伙 jiā huo 
how can this be so? (idiom); preposterous; ridiculous; absurd	岂有此理 qǐ yǒu cǐ lǐ 
hubbub; clamor; to make a racket;	喧哗 xuān huá 
huge; enormous; tremendous	庞大 páng dà 
human nature; humanity; human; the totality of human attributes	人性 rén xìng 
human sympathy; humanitarianism; humane; the 'human way', one of the stages in the cycle of reincarnation (Buddhism); sexual intercourse	人道 rén dào 
humble; humility; modesty	谦逊 qiān xùn 
humor; wit; humorous; witty	风趣 fēng qù 
hunger; starvation; famine	饥饿 jī è 
hurricane; typhoon	台风 tái fēng 
idle; lazy	懒惰 lǎn duò 
idol; false god	偶像 ǒu xiàng 
ignorance	无知 wú zhī 
ignorant; to have no knowledge of sth	茫然 máng rán 
ignorant; uneducated	愚昧 yú mèi 
illegal	非法 fēi fǎ 
immediately; presently; following which	随即 suí jí 
immunity (to disease)	免疫 miǎn yì 
impatient (idiom); in a hurry; itching to get on with it	迫不及待 pò bù jí dài 
imperceptible influence; to influence secretly	潜移默化 qián yí mò huà 
impetus; impulse; emotional impulse; impulsive	冲动 chōng dòng 
implement; carry out; to execute; to run	执行 zhí xíng 
impotent (idiom); powerless; helpless	无能为力 wú néng wéi lì 
impoverished; poverty	贫困 pín kùn 
improve	改良 gǎi liáng 
in a difficult situation; to cut a sorry figure; scoundrel! (derogatory)	狼狈 láng bèi 
incessantly; without end; more than; not limited to	不止 bù zhǐ 
in charge; responsible for	主管 zhǔ guǎn 
inconceivable (idiom); unimaginable; unfathomable	不可思议 bù kě sī yì 
(indicates that sth turns out just the opposite of what one would expect or what would be normal); unfortunately; against expectations	偏偏 piān piān 
indirect	间接 jiàn jiē 
individual	个体 gè tǐ 
industry; estate; property; industrial	产业 chǎn yè 
in every possible way (idiom); meticulous	无微不至 wú wēi bù zhì 
infant; baby; CL:个; lead (Pb)	婴儿 yīng ér 
infection; to infect; to influence	感染 gǎn rǎn 
inflamed from infection or injury; inflammation	发炎 fā yán 
inflation	通货膨胀 tōng huò péng zhàng 
(informal) note; CL:张[zhang1] ,个	便条 biàn tiáo 
(informal) older brother's wife; sister-in-law; CL:个	嫂子 sǎo zi 
in front of; close to; nearby; the time just before	跟前 gēn qián 
in general; more or less; in rough terms; basically; on the whole	大体 dà tǐ 
initial; preliminary; tentative	初步 chū bù 
in itself; per se; itself	本身 běn shēn 
injection; to inject	注射 zhù shè 
ink; CL:瓶[ping2]	墨水儿 mò shuǐ r 
innate; natural	天生 tiān shēng 
inner quality; basic essence; change over time	素质 sù zhì 
innocent; innocence; not guilty (law);	无辜 wú gū 
innovation; to bring forth new ideas; to blaze new trails	创新 chuàng xīn 
in order to avoid; so as not to	以免 yǐ miǎn 
(in) return; reciprocation; payback; retaliation; to report back; to reciprocate	回报 huí bào 
in sequence, step by step (idiom); to make steady progress incrementally	循序渐进 xún xù jiàn jìn 
in short; in a word; in brief	总而言之 zǒng ér yán zhī 
inside story; non-public information; behind the scenes; internal	内幕 nèi mù 
in silence; not speaking	默默 mò mò 
inspiration; insight; a burst of creativity in scientific or artistic endeavor	灵感 líng gǎn 
in spite of; regardless of	不顾 bú gù 
instance; example	比方 bǐ fang 
instinct	本能 běn néng 
instrument; apparatus; CL:台[tai2]	仪器 yí qì 
intelligence; intellect	智力 zhì lì 
intelligent; able; smart (phone, system, bomb etc)	智能 zhì néng 
intent; intention; intend; schematic diagram	意图 yì tú 
intentional; deliberate; on purpose	成心 chéng xīn 
in the end; after all is said and done	终究 zhōng jiū 
in the past; formerly	以往 yǐ wǎng 
in the right and self-confident (idiom); bold and confident with justice on one's side; to have the courage of one's convictions; just and forceful	理直气壮 lǐ zhí qì zhuàng 
intimate; close;	亲密 qīn mì 
intrinsic; innate	内在 nèi zài 
intrinsic to sth; inherent; native	固有 gù yǒu 
invasion; encroachment	侵略 qīn lvè 
investigate; look into	追究 zhuī jiū 
in view of; seeing that; considering; whereas	鉴于 jiàn yú 
invitation card; written invitation	请帖 qǐng tiě 
invitation card; written invitation	请柬 qǐng jiǎn 
in writing; written (guarantee etc)	书面 shū miàn 
IQ (intelligence quotient)	智商 zhì shāng 
irrigation ditch; medium or channel of communication	渠道 qú dào 
irritable; irascible; impetuous	急躁 jí zào 
is bound to (happen)	势必 shì bì 
Islamic; Muslim; halal (of food); clean; pure	清真 qīng zhēn 
isolate; isolated	孤立 gū lì 
it goes without saying; it is self-evident	不言而喻 bù yán ér yù 
it's just perfect; it's just right	恰到好处 qià dào hǎo chù 
jade	玉 yù 
jeer; mockery; scoff; sneer; make fun of; laugh at (derogatory)	嘲笑 cháo xiào 
jet-black; dark	乌黑 wū hēi 
jewelry; head ornament;	首饰 shǒu shì 
judgment (by a court of law)	判决 pàn jué 
judgment; to referee; umpire; judge; referee; CL:个,位[wei4] ,名[ming2]	裁判 cái pàn 
judicial; (administration of) justice	司法 sī fǎ 
just as in the past (idiom); as before; continuing as always	一如既往 yī rú jì wǎng 
just; fair; equitable	公正 gōng zhèng 
justice; fairness; public highway	公道 gōng dào 
justice; righteous; righteousness	正义 zhèng yì 
keen; sharp; acute	敏锐 mǐn ruì 
kindly; benevolent (often of older person)	慈祥 cí xiáng 
kindly; nice; amiable	和蔼 hé ǎi 
kneel	跪 guì 
knee	膝盖 xī gài 
knotty; troublesome; bothersome	伤脑筋 shāng nǎo jīn 
knowledge gained; CL:个	心得 xīn dé 
laboratory test; chemical experiment; assay	化验 huà yàn 
lack; incomplete	贫乏 pín fá 
lady; madam; Mrs.; CL:位[wei4]	夫人 fū ren 
lair; nest; den; hideout;	巢穴 cháo xué 
lake	湖泊 hú pō 
lament; with a tinge of emotion or regret	感慨 gǎn kǎi 
lame	瘸 qué 
lane; alley	巷 xiàng 
Lantern festival; the final event of the Spring festival 春春节, on 15th of first month of the lunar calendar	元宵节 yuán xiāo jié 
lantern	灯笼 dēng lóng 
lapse; mistake; to make a mistake; fault; service fault (in volleyball, tennis etc)	失误 shī wù 
lasting; enduring; persistent; permanent; protracted; endurance; persistence; to last long	持久 chí jiǔ 
lateral side; side; aspect; profile	侧面 cè miàn 
law and order; public security	治安 zhì ān 
law case; legal case; judicial case; CL:宗[zong1] ,桩[zhuang1] ,起[qi3]	案件 àn jiàn 
lawsuit	诉讼 sù sòng 
layman; amateur	外行 wài háng 
lead; command; head	率领 shuài lǐng 
leader; CL:个,位[wei4] ,名[ming2]	领袖 lǐng xiù 
leading scholar of his time; magnate	泰斗 tài dǒu 
leaflet; flier; pamphlet	传单 chuán dān 
leather; CL:张[zhang1]	皮革 pí gé 
(leave or be a) legacy; left over; hand down (to next generation)	遗留 yí liú 
legal person; corporation; see also 自然自然人[zi4 ran2 ren2]	法人 fǎ rén 
lenient; tolerant; indulgent; charitable; to forgive;	宽容 kuān róng 
level; even; smooth; flat	平坦 píng tǎn 
lever; pry bar; crowbar; financial leverage	杠杆 gàng gǎn 
lifelong; all one's life; marriage	终身 zhōng shēn 
life	性命 xìng mìng 
limit; extreme boundary	极限 jí xiàn 
limit	局限 jú xiàn 
line of sight	视线 shì xiàn 
(line of) thought; thinking	思维 sī wéi 
lip; CL:片[pian4]	嘴唇 zuǐ chún 
liquid	液体 yè tǐ 
lit. actual location; the scene (of the incident); on-the-spot	现场 xiàn chǎng 
lit. crow and peacock make no sound; absolute silence (idiom); not a single voice can be heard; absolute silence;	鸦雀无声 yā què wú shēng 
lit. draw legs on a snake (idiom); fig. to ruin the effect by adding sth superfluous; to overdo it	画蛇添足 huà shé tiān zú 
literature and art	文艺 wén yì 
lit. I dare not (accept the honor); fig. I don't deserve your praise; you flatter me	不敢当 bù gǎn dāng 
lit. new bud; fig. new and original	新颖 xīn yǐng 
lit. on brocade, add flowers (idiom); to decorate sth already perfect; gilding the lily;	锦上添花 jǐn shàng tiān huā 
lit. proper behavior is based on reciprocity (idiom); fig. to return politeness for politeness;	礼尚往来 lǐ shàng wǎng lái 
lit. thousand ways, a hundred plans (idiom); by every possible means	千方百计 qiān fāng bǎi jì 
lit. warp and weft in weaving; vertically and horizontal; length and breadth; criss-crossed; able to move unhindered; abbr. for 合縱連合纵连横[He2 zong4 Lian2 heng2] , School of Diplomacy during the Warring States Period (475 - 221 BC)	纵横 zòng héng 
live broadcast (not recorded); direct internet broadcasting	直播 zhí bō 
local conditions and customs (idiom)	风土人情 fēng tǔ rén qíng 
local flavor; local style	风味 fēng wèi 
location; place	场所 chǎng suǒ 
locomotive; motorized; power-driven; adaptable; flexible (use, treatment, timing etc)	机动 jī dòng 
lofty quality; mettle; spirit	气概 qì gài 
logistics	后勤 hòu qín 
lonely; solitary	孤独 gū dú 
looking for employment; getting a job; to start a career	就业 jiù yè 
look; style; appearance; approximation; about; CL:个	模样 mú yàng 
lord; nobility; nobleman; noblewoman; aristocrat; aristocracy	贵族 guì zú 
lottery ticket	彩票 cǎi piào 
loud and clear; resounding	响亮 xiǎng liàng 
luckily; by a fluke;	侥幸 jiǎo xìng 
lucky; auspicious; propitious	吉祥 jí xiáng 
lung; CL:个	肺 fèi 
lush	茂盛 mào shèng 
luster; splendor; radiance; brilliance	光彩 guāng cǎi 
luxuriant growth (idiom); flourishing; thriving	欣欣向荣 xīn xīn xiàng róng 
luxurious; extravagant; wasteful	奢侈 shē chǐ 
machine; machinery; mechanical	机械 jī xiè 
macro-; macroscopic; holistic	宏观 hóng guān 
magical; mystical; miraculous	神奇 shén qí 
magic	魔术 mó shù 
magnetic tape; CL:盘[pan2] ,盒[he2]	磁带 cí dài 
magnificence; magnificent; majestic; glorious	壮丽 zhuàng lì 
main point; essential	要点 yào diǎn 
mainstay; pillar; prop; backbone	支柱 zhī zhù 
main stream (of a river); fig. the essential point; main viewpoint of a matter	主流 zhǔ liú 
majestic; sublime	崇高 chóng gāo 
(make an) exception	例外 lì wài 
make the decision; take charge of; back up; support; be host	做主 zuò zhǔ 
malady; evil; malpractice; drawback; disadvantage	弊病 bì bìng 
male and female	雌雄 cí xióng 
malfunction; breakdown; defect; shortcoming; fault; failure; impediment; error; bug (in software)	故障 gù zhàng 
malpractice; abuse; corrupt practice	弊端 bì duān 
man's world; the world	人间 rén jiān 
(manufacturing, production etc) costs	成本 chéng běn 
marginal notes; annotation; to annotate; to add comments to text	注释 zhù shì 
mark; indication; sign; indicator	迹象 jì xiàng 
marsh; swamp; wetlands; glade	沼泽 zhǎo zé 
martial arts chivalry (Chinese literary, theatrical and cinema genre); knight-errant	武侠 wǔ xiá 
massage	按摩 àn mó 
mass; multitude; the masses	群众 qún zhòng 
matchless	无比 wú bǐ 
(material) welfare; well-being	福利 fú lì 
(mathematical) operation	运算 yùn suàn 
matter; item	事项 shì xiàng 
meaning; content; essential properties implied or reflected by a notion; intention; connotation; self-possessed	内涵 nèi hán 
meaning (implicit in a phrase); implied meaning; hidden meaning; hint; connotation	含义 hán yì 
meat, fish; strong-smelling vegetable (garlic etc); non-vegetarian food (meat, fish, spicy food etc); vulgar; obscene;	荤 hūn 
mechanism; structure; organization; agency; institution; CL:所[suo3]	机构 jī gòu 
media; medium	媒介 méi jiè 
mediocre; indifferent; commonplace	平庸 píng yōng 
melody; rhythm	旋律 xuán lv4 
member	成员 chéng yuán 
membrane; film	膜 mó 
memorandum; aide-memoire; memorandum book	备忘录 bèi wàng lù 
memory; recall	记性 jì xing 
merciless; ruthless; cruel; mean	残忍 cán rěn 
metabolism (biology); the new replaces the old (idiom)	新陈代谢 xīn chén dài xiè 
meteorological feature; CL:个; meteorology; atmosphere or scene	气象 qì xiàng 
microphone	话筒 huà tǒng 
micro-; sub-atomic	微观 wēi guān 
might; awe-inspiring authority; impressive	威风 wēi fēng 
might; formidable power	威力 wēi lì 
milestone	里程碑 lǐ chéng bēi 
(Military) admiral; (chess) to check; to embarrass	将军 jiāng jūn 
military campaign	战役 zhàn yì 
(military) rank; level; grade	级别 jí bié 
millimeter	毫米 háo mǐ 
minerals;	矿产 kuàng chǎn 
minister (of a monarchy)	大臣 dà chén 
minutes; written summary of a meeting	纪要 jì yào 
minute; tiny; negligible; insignificant	渺小 miǎo xiǎo 
miserable; tragic	悲惨 bēi cǎn 
misgivings; apprehensions	顾虑 gù lv4 
missing; lost; unaccounted for	失踪 shī zōng 
mission (diplomatic or other); set task	使命 shǐ mìng 
mobilize; arouse; CL:次[ci4] ,个	动员 dòng yuán 
(modal particle to express that something is obvious)	嘛 ma 
model; fine example	模范 mó fàn 
modeling; mold-making; model or mold; molding	造型 zào xíng 
model; mould; matrix; pattern	模型 mó xíng 
model; typical case; archetype; typical; representative	典型 diǎn xíng 
mode; method	模式 mó shì 
moderate (policy etc)	温和 wēn hé 
moist; humid; to moisten; to provide moisture; comfortably off;	滋润 zī rùn 
moment; momentary; in a flash;	瞬间 shùn jiān 
momentum; manner; energy; look of great force or imposing manner; powerful	气势 qì shì 
momentum	声势 shēng shì 
money given to children as new year present	压岁钱 yā suì qián 
moral character	品德 pǐn dé 
more and more emerge; innumerable succession; breeding like flies (idiom)	层出不穷 céng chū bù qióng 
more or less; roughly; approximately	大致 dà zhì 
moreover; besides; in addition; furthermore	况且 kuàng qiě 
motor; locomotive; motive; motivation; intention	动机 dòng jī 
motto; maxim	座右铭 zuò yòu míng 
mountain range; CL:条[tiao2]	山脉 shān mài 
mourning; memorial (service etc)	追悼 zhuī dào 
must; to need to; to be sure to	务必 wù bì 
name; term of address; title	称号 chēng hào 
nanny; housekeeper	保姆 bǎo mǔ 
narrow; tight; narrow minded; lacking in experience	狭隘 xiá ài 
narrow	狭窄 xiá zhǎi 
nasal mucus; snivel	鼻涕 bí tì 
national defense	国防 guó fáng 
native language; mother language	母语 mǔ yǔ 
natural gas	天然气 tiān rán qì 
natural harbor; bay serving as harbor	港湾 gǎng wān 
nausea; to feel sick; disgust; nauseating	恶心 ě xin 
navigation	导航 dǎo háng 
nearby; in a close neighborhood	就近 jiù jìn 
need not; (contraction of 不 and 用)	甭 béng 
negligible; insignificant	微不足道 wēi bù zú dào 
nerve	神经 shén jīng 
nest; pit or hollow on the human body; lair; den; place; to harbor or shelter; to hold in check; to bend; classifier for litters and broods	窝 wō 
neutral	中立 zhōng lì 
nick; jag; gap; shortfall	缺口 quē kǒu 
nimble; quick; shrewd	敏捷 mǐn jié 
nobleman; person of noble character;	君子 jūn zǐ 
nobly; lofty	高尚 gāo shàng 
noisy; clamorous	嘈杂 cáo zá 
nook; corner	角落 jiǎo luò 
norm; index; target	指标 zhǐ biāo 
norm; standard; criterion	准则 zhǔn zé 
norm; standard; specification; regulation; rule; within the rules; to fix rules; to regulate; to specify	规范 guī fàn 
notarization; notarized; acknowledgement	公证 gōng zhèng 
(not) even; yet; still;	尚且 shàng qiě 
not in the least; none whatsoever; completely without	毫无 háo wú 
not just in name only, but also in reality (idiom)	名副其实 míng fù qí shí 
not one thread loose (idiom); strictly according to the rules; meticulous; not one hair out of place	一丝不苟 yì sī bù gǒu 
not stint; not spare; not hesitate (to do sth); not scruple (to do sth)	不惜 bù xī 
numb; insensitive; apathetic	麻木 má mù 
nurturing (i.e. assimilate some branch of culture); seeped in	熏陶 xūn táo 
oar; paddle	桨 jiǎng 
objective; aim; goal	宗旨 zōng zhǐ 
oblivion	埋没 mái mò 
obvious at a glance (idiom)	一目了然 yí mù liǎo rán 
obviously; plainly; undoubtedly; definitely	明明 míng míng 
occasionally; from time to time	时而 shí ér 
odor; scent	气味 qì wèi 
(of a cheque etc) to cash; to honor a commitment	兑现 duì xiàn 
(of a government, etc.) prestige and public reliance	威信 wēi xìn 
(of alcohol) to ferment; (of a crisis) to be brewing; to mull over (an issue); to hold exploratory discussions	酝酿 yùn niàng 
(of an area) rich in resources; (of a person) gifted or able (idiom)	得天独厚 dé tiān dú hòu 
(of cooking) to boil for a long time; to endure; to suffer	熬 áo 
official business	公务 gōng wù 
official; (by the) government	官方 guān fāng 
off season; slow business season; (see also 旺季)	淡季 dàn jì 
often; frequently	时常 shí cháng 
oh; ah	哦 ò 
oh alas; hey!; hi! (loanword)	嗨 hāi 
oil paints; lacquer; to paint; CL:层[ceng2]	油漆 yóu qī 
oil; petroleum	石油 shí yóu 
old-fashioned	陈旧 chén jiù 
omen; prognosis (in medicine)	预兆 yù zhào 
one move, two gains (idiom); two birds with one stone	一举两得 yì jǔ liǎng dé 
on end; in a row; in succession	接连 jiē lián 
one's appearance; one's aspect; looks; features	容貌 róng mào 
one's bosom (the seat of emotions); breast; broad-minded and open; to think about; to cherish	胸怀 xiōng huái 
oneself; I (humble form used in speeches); myself; in person; personal	本人 běn rén 
one's native place; place of ancestry; registered birthplace	籍贯 jí guàn 
one's thoughts; mind; intention; willingness to accept new ideas; baseless suspicions	心眼儿 xīn yǎn r 
only; just (i.e. it is only that...); all except; unique	唯独 wéi dú 
only; nothing else	无非 wú fēi 
on the eve of; to be about to; to be on the verge of	即将 jí jiāng 
on the other hand...; conversely...	反之 fǎn zhī 
on the verge of; close to	濒临 bīn lín 
openly; publicly; undisguised	公然 gōng rán 
opinion; view; understanding	见解 jiàn jiě 
opportunity; favorable circumstance; stroke of luck	机遇 jī yù 
opportunity to live; to reprieve from death; life force; vitality	生机 shēng jī 
oppressive (of weather); heavy; depressed; not happy	沉闷 chén mèn 
oral cavity	口腔 kǒu qiāng 
oral; verbal	口头 kǒu tóu 
orange (fruit, color)	橙 chéng 
orbit; railway or tram line; fig. conventional way of thinking	轨道 guǐ dào 
order; command; instruction	指令 zhǐ lìng 
organism; living creature; life form; biological; CL:个	生物 shēng wù 
organ (part of body tissue); apparatus	器官 qì guān 
originally; at first; at the outset	起初 qǐ chū 
origin; root (cause)	根源 gēn yuán 
origin; to originate; to come from	起源 qǐ yuán 
orthodox school; fig. traditional; old school; authentic; genuine;	正宗 zhèng zōng 
other; other people; him(her, them); I	人家 rén jia 
outer space	太空 tài kōng 
outer surface; outside; honor; reputation; face (as in 'losing face'); self-respect; feelings; (medicinal) powder	面子 miàn zi 
outlook; prospect; to look ahead; to look forward to	展望 zhǎn wàng 
outstanding; distinguished; remarkable; prominent; illustrious	杰出 jié chū 
