ability	Fähigkeit
drug	Arzneimittel
drugs	Drogen
drumming	Trommeln
drum	trommeln
drunkard	Trinker
drunken	betrunken
drunk	getrunken
dryly	auf trockene Art und Weise
dryness	Trockenheit
dry	trocken
dry weather	trockenes Wetter
duck	Ente
due to a mistake	wegen eines Fehlers
due to	infolge
dug	grub
dullness	Flaute
dull	trübe
during	während
duster	Staublappen
dust	Staub
dusty	staubig
Dutch	niederländisch
duty paid	Zoll bezahlt
duty	Zoll
dwelling	Wohnstätte
dwell (irr.)	wohnen
dying	sterbend
each day	jeden Tag
each	jeder (einzelne)
each other	einander
eager	eifrig
eager for more work	auf mehr Arbeit begierig
eagerly	in begieriger Weise
early breakfast	frühes Frühstück
early	frühzeitig
early riser	Frühaufsteher
earnest	ernsthaft
earn	Geld verdienen
earnings	Verdienst
ear	Ohr
ear-ring	Ohrring
earthenware	Steingut
earth	Erde
earthquake	Erdbeben
earthworm	Regenwurm
ease	lindern
ease of mind	innere Ruhe
easily	auf leichte Weise
eastern	östlich
Easter	Ostern
East	Osten
easy	leicht zu tun
eaten	gegessen
eating and drinking	Essen und Trinken
eating	Essen
eating-house	Speiserestaurant
eat (irr.)	essen
economical	sparsam
economic	wirtschaftlich
economy	Wirtschaft
edge of a knife	Schneide eines Messers
edge	Schneide
educated	gebildet
educate	erziehen
education	Erziehung
educator	Erzieher
effect	Wirkung
effort	Anstrengung
egg	Ei
egg-white	Eiweiß
eight	acht
eighteen	achtzehn
eighteenth	achtzehnte
eighth	achte
eightieth	achtzigste
eighty	achtzig
either...or	entweder...oder
elastic	elastisch
elasticity	Elastizität
elbow	Ellenbogen
elder	ältere
eldest	älteste
elect a representative	einen Vertreter wählen
election	Wahl
electrical	elektrisch
electrical engineering	Elektrotechnik
electric current	elektrischer Strom
electric	elektrisch
electrician	Elektriker
electricity	Elektrizität
elect	wählen
element	Element
elephant	Elefant
elevator	Aufzug(US)
eleven	elf
eleventh	elfte
else	sonst noch
elsewhere	sonst wo
emergency	Notfall
employ	beschäftigen
employee	Arbeitnehmer
employer	Arbeitgeber
employment	Beschäftigung
emptied	entleert
emptiness	Leere
empty	leer
enclosed	umzäunt
enclose	umschließen
enclosure	Umzäunung
encourage	ermutigen
encouragement	Ermutigung
end	enden
endless	endlos
end of season sale	Saisonschlußverkauf
end of the day	Ende des Tages
end of the road	Ende der Straße
end of the year	Ende des Jahres
enemy	Feind
enemy ships	feindliche Schiffe
energy	Energie
engaged	verlobt
engagement ring	Verlobungsring
engagement	Verlobung
engine-driver	Lokomotivführer
engineer	Ingenieur
engineering	Technik
engine	Motor
England	England
English	englisch
enjoyable	erfreulich
enjoy	genießen
enjoyment	Genuß
enjoy oneself	sich (gut) amüsieren
enough	genug
enough has been said	es ist genug gesagt worden
enough to eat	genug zu essen
enquire	sich erkundigen
enquiry	Erkundigung
enter a name on a list	einen Namen auf einer Liste eintragen
enter	eintreten
entertainer	Unterhalter
entertaining	unterhaltend
entertainment	Unterhaltung
entertain	unterhalten
enter the church	in die Kirche eintreten
enter the room	den Raum betreten
entire happiness	vollkommenes Glück
entirely	gänzlich
entire	völlig
entrance	Eintrittsgeld
entrance fee	Beitrittsgebühr
entrance-hall	Eingangshalle
entrust	anvertrauen
entry	Eintritt
envelope	Briefumschlag
envious	neidisch
envy	Neid
equal	gleichwertig
equality	Gleichheit
equally	gleichermaßen
escaped	entflohen
escape	Flucht
escape of gas	Entweichen von Gas
escape out of prison	Flucht aus dem Gefängnis
especial	besonders
especially	insbesondere
essence	Wesen
essential	wesentlicher Bestandteil
established	fundiert
establish	gründen
establishment	Geschäft
estimate	schätzen
European	Europäer
Europe	Europa
evening	Abend
evening dress	Abendkleidung
even now	sogar jetzt
even	sogar
event	Ereignis
eventful	ereignisreich
ever	jemals
everlasting	ewig andauernd
ever other day	jeden zweiten Tag
ever since	seitdem
ever-widening interests	immer wachsende Interessen
everyday	an jedem Tag
every few hours	alle paar Stunden
every	jeder
everyone	jedermann
everything	alles
everywhere	überall
evil deeds	üble Taten
evil thoughts	böse Gedanken
evil	Übel
exact	genau
exam	Examen
examination	Examen
examine	prüfen
examiner	Prüfer
example	Vorbild
excellence	Vortrefflichkeit
excellent	ausgezeichnet
excellently	in ausgezeichneter Weise
except	außer
except by doing it yourself	außer du tust es selbst
except for a few mistakes	außer ein paar Fehlern
exception	Ausnahme
exchange	austauschen
exchange of prisoners	Austausch von Gefangenen
excite	aufregen
excitement	Aufregung
exciting	aufregend
excuse	Entschuldigung
excuse me	entschuldige mich
excuse me for interrupting	entschuldigen Sie die Störung
exercise	Übung
exhibit	ausstellen
exhibition	Ausstellung
exhibitor	Aussteller
existence	Dasein
exist	existieren
existing	bestehend
exit	Ausgang
exlosive	explosiv
expectation	Erwartung
expect	erwarten
expense	Ausgaben
expenses	Unkosten
expensive	teuer
experienced	erfahren
experience	Erfahrungen machen
experimental	experimentell
experimentally	durch Experimente
experiment	experimentieren
expert	Fachmann
expert opinion	Meinung des Fachmanns
explain	erläutern
explanation	Erläuterung
explode	explodieren
exploration	Erforschung
explore	erforschen
explorer	Forscher
explosion	Explosion
export	exportieren
express	ausdrücken
expression	Ausdruck
express train	D-Zug
extend	verlängern
extension	Verlängerung
extensive	extensiv
extensively	sich ausdehnend
extent	Ausmaß
extraordinarily	in außergewöhnlicher Weise
extraordinary	außergewöhnlich
extra	zusätzlich
extreem	Extrem
extreme	äußerster
eye	Auge
eye-ball	Augapfel
eyebrow	Augenbraue
eyelash	Wimpern
eyes filled with tears	mit Tränen gefüllte Augen
face	Gesicht
face-powder	Gesichtspuder
factory	Fabrik
factory-girl	Fabrikmädchen
factory-inspector	Fabrikinspektor
fact	Tatsache
faded flowers	verwelkte Blumen
fade	verwelken
failure	Misserfolg
fail	versagen
faint	ohnmächtig werden
fair	fair
faithfully	getreu
faithful	treu
faith	Glauben
fall asleep	einschlafen
fall	Herbst(US)
fall in love (with)	sich verlieben (in)
fall (irr.)	fallen
false	falsch
falsehood	Falschheit
false ideas	falsche Ideen
falsely	fälschlicherweise
false teeth	falsche Zähne
fame	Ruhm
familiar	vertraut
family	Familie
family-life	Familienleben
famous	berühmt
fancy articles	Modeartikel
fancy cakes	Törtchen
fancy costume	Maskenkostüm
fancy price	Phantasiepreis
fancy	sich vorstellen
fan	Fan
far away	weit weg
fare	Fahrpreis
farm	Bauernhof
farmer	Bauer
farmer's wife	Bäuerin
far-reaching	weitreichend
farther	weiter
farthest	am weitesten
far	weit
fashionable	modisch
fashion	Mode
fasten	festmachen
fast	schnell
fate	Schicksal
fat	Fett
father-in-law	Schwiegervater
father	Vater
fault	Mangel
favourable	günstig
favourably	in günstiger Weise
favour	Gunst
favourite	Favorit
fearful	furchtbar
fear	fürchten
fearless	furchtlos
feast	Fest
feather-bed	Federbett
feather	Vogelfeder
February	Februar
Federal Republic of Germany	Bundesrepublik Deutschland
fed	gefüttert
feed	Fütterung
feed (irr.)	füttern
feeling	Gefühl
feel (irr.)	fühlen
feel	sich fühlen
feet	Füße
fell	fiel
fellow	Kamerad
fellowship	Kameradschaft
felt	gefühlt
female	weiblich
fence off	abzäunen
fence	Zaun
fetch	holen
fever	Fieber
feverish	fieberhaft
feverishly	in fieberhafter Weise
few	wenige
field	Feld
fierce	heftig
fifteen	fünfzehn
fifteenth	fünfzehnte
fifth	fünfte
fiftieth	fünfzigste
fifty	fünfzig
fighter	Kämpfer
fight (irr.)	kämpfen
fight	Kampf
figure	Ziffer
fill	füllen
fill in	ausfüllen(Br.)
filling station	Tankstelle
fill out	ausfüllen(US)
fill up	auffüllen
film	Film
final	endgültig
finally	endlich
find	Fund
find (irr.)	finden
find out	herausbekommen
fine	fein
finely	auf feine Art
finger	Finger
finger-mark	Fingerabdruck
finger-nail	Fingernagel
finished	beendet
finish	Politur
firearms	Feuerwaffen
fire arms	Schusswaffen
fire	Feuer
fireproof	feuerfest
firm	Firma
firm ground	fester Boden
first class	erstklassig
first name	Vorname
first	zuerst
fisherman	Fischer
fish	fischen
fishing-rod	Angelrute
fish (pl.)	Fische
fish (sg.)	Fisch
fist	Faust
fitness	Tauglichkeit
fit	passen
five	fünf
fix	festmachen
fix up a shelf	ein Regal aufbauen
flag	Flagge
flame	Flamme
flash	blitzen
flatten	flach machen
flatter	schmeicheln
flattery	Schmeichelei
flat	Wohnung
flavour	Geschmack
fled	geflohen
flee (irr.)	fliehen
flesh	Fleisch (am menschlichen Körper)
flew	flog
flight	Flug
float	treiben
flooded	überschwemmt
flood	überfluten
floor	Stockwerk
flour	Mehl
flower bed	Blumenbeet
flower	Blume
flower-garden	Blumengarten
flower-pot	Blumentopf
flow	fließen
flown	geflogen
fly	Fliege
fly (irr.)	fliegen
fog	Nebel
fold	falten
follower	Verfolger
follow	verfolgen
fond of his sister	mag seine Schwester
food	Speise
foolishness	törichtes Benehmen
foolish	töricht
fool	Narr
football	Fußball
foot (irr.)	Fuß
footnote	Fußnote
footpath	Fußweg
footprint	Fußabdruck
for a little while	für eine kleine Weile
for a minute	eine Minute lang
forbade	verbot
forbidden	verboten
forbid (irr.)	verbieten
force	zwingen
forehead	Stirn
foreigner	Ausländer
foreign	fremd
foreign politics	Auslandspolitik
forest	Wald
for ever and ever	für alle Zeiten
forever	für immer
for example	zum Beispiel
for fear	aus Furcht
for fear that	aus Furcht daß
forgave	verzieh
forget (irr.)	vergessen
forgive (irr.)	verzeihen
forgiven	verziehen
forgotten	vergessen (part.)
forgot	vergaß
for instance	zum Beispiel
fork	Gabel
form a habit	sich etwas angewöhnen
formal	förmlich
formality	Formalität
former	ehemaliger
formerly	früher
form	Gestalt
for	nach (einem Ort)
for sale	zum Verkauf
for ...'s sake	um ... willen
for the good of all	zum Wohle aller
for the rest of the day	für den Rest des Tages
fortieth	vierzigste
fortnight	vierzehn Tage
fortunate	glücklich (günstig)
fortunately	glücklicherweise
fortune	Vermögen
forty	vierzig
for various reasons	aus verschiedenen Gründen
forwards	vorwärts
forward	vorwärts
fought	kämpfte
foundation	Gründung
found	gründen
fountain	Brunnen
fountain pen	Füllfederhalter
fourteenth	vierzehnte
fourteen	vierzehn
fourth	vierte
four	vier
fox	Fuchs
frame	Rahmen
France	Frankreich
freedom	Freiheit
freedom of the press	Pressefreiheit
free	frei
freely	großzügig
free trade	Freihandel
freeze (irr.)	frieren
French	französisch
french fries	Pommes frites(US)
Frenchman	Franzose
French (pl.)	Franzosen
Frenchwoman	Französin
frequent	häufig besuchen
freshen	erfrischen
fresh	frisch
freshness	Frische
Friday	Freitag
fridge	Kühlschrank
fried	gebraten (in Pfanne)
friend	Freundin
friendly	freundlich
friendship	Freundschaft
frighten	erschrecken
fright	Schrecken
from memory	aus dem Gedächtnis
from top to bottom	von oben bis unten
from ... to	von ... bis
from	von (... her)
front door	Haustür
frontier	Grenze
front	Vorderside
frost	Frost
froze	fror
frozen	gefroren
fruit-market	Obstmarkt
fruit	Obst
fruits preserved in syrup	in Sirup eingelegte Früchte
fruit-tree	Obstbaum
fry	in der Pfanne braten
frying-pan	Pfanne
full stop	Punkt am Satzende
full	voll
funeral	Beerdigung
funny	spaßig
fun	Spaß
furnish	möblieren
furniture	Möbel (pl.)
fur	Pelz
further	weiter
gain	gewinnen
gallery	Galerie
gallon	Gallone
game	Wildpret
gap	Spalte
garage	Reperaturwerkstatt
gardener	Gärtner
garden	Garten
gas	Gas
gas station	Tankstelle(US)
gate	Tor
gather	sammeln
gave	gab
gay	bunt
gay colours	bunte Farben
gay (happy)	lustig
geese	Gänse
general	General
generally	im allgemeinen
generosity	Großzügigkeit
generous	großzügig
generously	in großzügiger Weise
gentleman (irr.)	Herr
gentlemen	Herren
gentleness	Zartheit
gentle	zart
geography	Erdkunde
German Democratic Republic	Deutsche Demokratische Republik
German	Deutscher
Germany	Deutschland
get a cold	sich verkühlen
get along with	auskommen mit
get drunk	sich betrinken
get hold of	erwischen
get into trouble	in Schwierigkeiten kommen
get (irr.)	werden
get lost	verloren gehen
get on	weiterkommen
get permission	Erlaubnis bekommen
get ready	sich fertig machen
get rid of	loswerden
get to	gelangen
get up	aufstehen
get up early	früh aufstehen
ghost	Gespenst
gift	Geschenk
girlfriend	Freundin eines Mannes
girl	Mädchen
give a kiss	einen Kuss geben
give a sign	ein Zeichen geben
give back	zurückgeben
give in	nachgeben
give (irr.)	schenken
give it a trial	probiere es
give me a chance	gib mir eine Gelegenheit
given	gegeben
give notice	kündigen
give way	Platz machen
glad	froh
gladly	gerne
glance at something	einen Blick auf etwas werfen
glance	Blick
glasses	Brille
glass	Glas
glorious	herrlich
gloriously	in herrlicher Weise
glory	Ruhm
glove	Handschuh
go abroad	ins Ausland gehen
go after him	laufe ihm nach
go ahead	voran gehen
go along with me	komm mit mir
goal	Tor beim Fußball
goat	Ziege
go away	weggehen
go back	zurück gehen
go-between	Vermittler
go by tube	mit der U-Bahn fahren
goddess	Göttin
godfather	Pate
god	Gott
godmother	Patin
go in	geh hinein
go into	hinein gehen
go (irr.)	gehen
gold-dust	Goldstaub
golden age	goldenes Zeitalter
golden	golden
gold-fish	Goldfisch
gold	Gold
gold-mine	Goldbergwerk
gold-smith	Goldschmied
gone	gegangen
good afternoon !	Guten Tag ! (nachmittags)
goodbye !	Auf Wiedersehen !
good deeds	gute Taten
good enough	gut genug
good evening !	Guten Abend !
good-for-nothing	Tunichtsgut
good	gut
good lord !	mein Gott !
good luck !	Viel Glück !
good morning !	Guten Tag ! (vormittags)
goodness	Güte
good night !	Gute Nacht !
goods wagon	Güterwagen
goods	Waren
go on tour	auf Tour gehen
go on	weitermachen
goose	Gans
go out	ausgehen
gossip	Klatsch
got	bekommen
go to church	zur Kirche gehen
go to see	besuchen (gehen)
go to sleep	schlafen gehen
go toward the door	geh auf die Türe zu
government	Regierung
governor	Governeur
govern	regieren
graceful	graziös
grace	Gnade
gradual	allmählich
gradually	Stufe um Stufe
grain	Korn
grammar	Grammatik
gramme	Gramm
grandchild	Enkelkind
granddaughter	Enkelin
grandfather	Großvater
grand	großartig
grandmother	Großmutter
grandparents	Großeltern
grandson	Enkel
grant	gewähren
grape	Traube
grass	Gras
grateful	dankbar
grave	Grab
gravestone	Grabstein
gray	grau
grease	fetten
greasy	fettig
Great Britain	Großbritannien
great-grandfather	Urgroßvater
great	groß
greatness	Größe
Greece	Griechenland
greed	Gier
greedily	auf gierige Weise
greedy	gierig
Greek	griechisch
green	grün
green-house	Glashaus
greet	begrüßen
greeting	Begrüßung
greetings	Grüße
grew	züchtete
grill	grillen
grind (irr.)	mahlen
grindstone	Mahlstein
grocer	Lebensmittelhändler
ground floor	Erdgeschoß
groundless	bodenlos
ground	mahlte
group	gruppieren
grow (irr.)	züchten
grown	geworden
grown up	erwachsen
growth	Wachstum
grow up	erwachsen werden
guard	Wache
guess	raten
guest	Gast
guest-house	Gasthaus
guide	führen
guiltless	unschuldig
guilt	Schuld
guilty	schuldig
gun	Schusswaffe
gymnastic exercises	gymnastische Übungen
habit	Angewohnheit
had	hattet
hair-brush	Haarbürste
haircut	Haarschnitt
hairdo	Frisur
hairdresser	Friseur (Damen)
hair	Haar
hair-net	Haarnetz
half	halb
half (irr.)	Hälfte
half past five	halb sechs Uhr
hall	Saal
halves	Hälften
hammer	Hammer
ham	Schinken
handbook	Handbuch
handkerchief	Taschentuch
handle	umgehen mit
handshake	Händedruck
handsome	gutaussehend (von einem Mann)
hand	Uhrzeiger
handwriting	Handschrift
handy	handlich
hang (irr.)	hängen
hangman	Henker
hang together	zusammenhängen
hang up a picture	ein Bild aufhängen
happen	sich ereignen
happily	in glücklicher Weise
happiness	Glücksgefühl
happy	glücklich (selig)
harbour	Hafen
hard drinks	scharfe Getränke
harden	härten
hardly	kaum
hardness	Härte
hard	schwierig
hardship	harte Umstände
harmful	schädlich
harmless	harmlos
harm	Schaden
harvest	ernten
has	hat
haste	Eile
hasten	hasten
hasty	eilig
hate	hassen
hat	Hut
have a good time !	Viel Vergnügen !
have a try !	versuch es mal !
have got	haben
have	hast
have (irr.)	haben
hay	Heu
headache	Kopfweh
heading	Briefkopf
head	Kopf
headline	Schlagzeile
headmaster	Schulleiter
he agreed with me	er stimmte mit mir überein
heal	heilen
healing	Heilung
health	Gesundheit
healthy	gesund
heap	Haufen
heard	hörte
hearer	Hörer
hear (irr.)	hören
heartbeat	Herzschlag
heartbroken	gebrochenen Herzens
heartburn	Sodbrennen
heart	Herz
heartless	herzlos
hearty	herzlich
heat	Hitze
heating	Heizung
heaven	Himmel
heavenly	himmlisch
heavy	schwer an Gewicht
he collects stamps	er sammelt Briefmarken
he deals in shoes	er handelt mit Schuhen
he did it with ease	er schaffte es leicht
he does	er tut
he dropped a hint	er gab einen Wink
he dropped his title	er ließ seinen Titel weg
heel	Ferse
he enjoys good health	er erfreut sich guter Gesundheit
he	er
he exercised his muscles	er übte seine Muskeln
he found it funny	er fand es spaßig
he got first prize	er gewann den ersten Preis
he had nothing to do with it	er hatte damit nichts zu tun
he idles away his time	er verbringt seine Zeit tatenlos
height	Höhe
heir	der Erbe
he is afraid of the truth	er fürchtet sich vor der Wahrheit
he is afraid to tell the truth	er fürchtet sich die Wahrheit zu sagen
he is always kind	er ist immer freundlich
he is called John	er heißt Johann
he is out of practice	er ist aus der Übung
held	hielt
he lives alone	er wohnt allein
hell	Hölle
hello !	Guten Tag !
he looks after the child	er kümmert sich um das Kind
helper	Helfer
helpful	hilfreich
help	Hilfe
helpless	hilflos
help yourself	bedienen Sie sich
he missed his breakfast	er vermisste sein Frühstück
hen	Henne
here and there	hier und dort
here	hierher
here you are !	Hier bitte !
hero	Held
her	sie
hers	ihrer
hesitate	zögern
hesitation	Zögern
he washes himself	er wäscht sich
he was named after his father	er wurde nach seinem Vater benannt
hidden	versteckt
hide (irr.)	verstecken
hid	versteckte
high and low tide	Flut und Ebbe
high	hoch
highland	Hochland
highway	Fernstraße
hike	wandern
hill	Hügel
hillside	Hang
hilly	hügelig
him	ihn
hinder	behindern
hindrance	Behinderung
hire	mieten
his exact words	genau seine Worte
his generous nature	sein großzügiges Wesen
his	sein
his son is a great trouble to him	sein Sohn macht ihm Sorgen
his time is up	sein Zeit ist abgelaufen
hobby	Steckenpferd
holder	Inhaber
hold (irr.)	halten
hole	Loch
holidays	Ferien(Br.)
holiday	Urlaub
holiness	Heiligkeit
hollow	hohl
hollow out	aushöhlen
holy	heilig
homeless	heimatlos
home-made	hausgemacht
home	nachhause
homework	Hausaufgaben
honest	ehrlich
honestly	auf ehrliche Weise
honesty	Ehre
honey	Honig
honour	ehren
hook	Haken
hopeful	hoffnungsvoll
hope	Hoffnung
hopeless	hoffnungslos
horizon	Horizont
horizontal	horizontal
horn	Horn
horror	Schrecken
horse	Pferd
horse race	Pferderennen
horseshoe	Hufeisen
hospital	Krankenhaus
hostess	Hostess
host	Gastgeber
hotel	Hotel
hot-head	Hitzkopf
hot	heiß
hour-hand	Stundenzeiger
hourly	stündlich
hour	Stunde
house	Haus
household	Haushalt
house-shoes	Hausschuhe
house-wife	Hausfrau
however	jedoch
how	wie (Fragewort)
human	menschlich
humble	bescheiden
humbleness	Bescheidenheit
humbly	in bescheidener Weise
humorous	humorvoll
hundred	hundert
hundredth	hundertste
Hungary	Ungarn
hunger	Hunger
hung	hing
hungry	hungrig
hunter	Jäger
hunt	jagen
hurry	eilen
hurt (irr.)	weh tun
hurt	verletzte
I am sorry	es tut mir leid
I am worried about	ich bin besorgt wegen
I beg your pardon	ich habe nicht verstanden
ice-breaker	Eisbrecher
ice cream	Speiseeis
ice	Eis
icy	eisig
idea	Idee
ideal	Ideal
idle	müßig
idleness	Müßiggang
I don't care	ich mache mir nichts daraus
I enclose a cheque with this	ich füge einen Scheck bei
if it's raining	falls es regnet
if	ob
I have seen it already	ich habe es schon gesehen
I	ich
I know that	ich weiß dass
ill	krank
illness	Krankheit
imaginary	imaginär
imagination	Phantasie
imaginative	phantasievoll
imagine	sich vorstellen
imitate	nachahmen
imitation	Nachahmung
immediately	sofort
immediate	unmittelbar
immense	ungeheuer groß
immorality	Unmoral
immoral	unmoralisch
importance	Wichtigkeit
important	wichtig
import	importieren
impossibility	Unmöglichkeit
impossible	unmöglich
impress	beeindrucken
impression	Eindruck
imprison	Gefangen setzen
improved	verbessert
improve	verbessern
impure	unrein
impurity	Unreinheit
in an instant	in einem Moment
in any case	in jedem Fall
in case it rains	falls es regnet
in cash	bar
in chains	in Ketten
inch	Zoll
included	inbegriffen
include	umfassen
inclusive	einschließlich
income and expense	Einkommen und Ausgaben
income	Einkommen
income tax	Einkommensteuer
inconvenience	Unannehmlichkeit
inconvenient	unangenehm
incorrect	nicht richtig
increase	zunehmen
indeed	tatsächlich
independence	Unabhängigkeit
independently	in unabhängiger Weise
independent	unabhängig
India	Indien
Indian	Inder
individual	individuell
indoor	im Gebäude
indoors	im Hause
in due course	zur rechten Zeit
industrial	industriell
industry	Industrie
in earnest	im Ernst
in fact	in der Tat
in favour of	zu Gunsten von
influence	Einfluss
influential	einflussreich
information	Information
inform	informieren
in front of the building	vor dem Gebäude
in front	vorn
in	in
injure	verletzen
injury	Verletzung
ink	Tinte
in love	verliebt
in my day	zu meiner Zeit
in my view	meiner Ansicht nach
inner	innerer
inn	Gasthaus
in order to	um zu
in particular	besonders
in part	teilweise
in plain dress	in einfacher Kleidung
in possession of	im Besitz von
in print	im Druck
inquire	sich erkundigen
inquiry	Erkundigung
in safekeeping	zur sicheren Aufbewahrung
insect	Insekt
inside	Innenseite
insist on	bestehen auf
in some way or other	auf die eine oder andere Weise
in spite of	trotz
instantly	sogleich
instead of	statt
instead	stattdessen
instrument	Instrument
insult	Beleidigung
insurance	Versicherung
insured person	versicherte Person
insurer	Versicherer
insure	versichern
intelligence	Intelligenz
intelligent	intelligent
intend	beabsichtigen
intention	Absicht
interdependent	voneinander abhängig
interesting	interessant
interest	Zinsen
interference	Einmischung
interfere	sich einmischen
international	international
interpreter	Dolmetscher
interruption	Unterbrechung
interrupt	unterbrechen
interview	Interview
in that case	in diesem Fall
in the end	schließlich
in the exercise of his duties	in Ausübung seiner Pflichten
in the meantime	in der Zwischenzeit
in the midst of life	in der Mitte des Lebens
in the night	während der Nacht
in time	rechtzeitig
into	in (acc.)
into the bargain	dazu noch
into the garden	in den Garten
introduce	vorstellen
introduction	Vorstellung
in vain	vergeblich
invent	erfinden
invention	Erfindung
inventor	Erfinder
invitation	Einladung
invite	einladen
inviting	einladend
in want of	mangels an
inward	einwärts
inwards	einwärts
Ireland	Irland
Irish	irisch
Irishman (irr.)	Ire
Irish (pl.)	Iren
Irishwoman	Irin
iron	Eisen
iron-ore	Eisenerz
irregularity	Unregelmäßigkeit
irregular	unregelmäßig
I see	ich verstehe
is	ist
island	Insel
issue	herausbringen
is there anybody	ist da jemand
Italian	italienisch
Italy	Italien
it does not concern me	es betrifft mich nicht
it does not matter	es macht nichts
it	es
it escaped me	es ist mir entfallen
it failed to effect a cure	es bewirkte keine Heilung
it is a fact that	es ist eine Tatsache dass
it is in fashion	es ist in Mode
it is just ready	es ist gerade fertig
it is time to end the discussion	es ist Zeit die Diskussion zu beenden
it is wrong to steal	es ist unrecht zu stehlen
it produced an effect	es zeigte eine Wirkung
it's on your way	es liegt auf deinem Weg
it works	es geht
I've got an idea	mir ist etwas eingefallen
I was present	ich war anwesend
I will see you to the door	ich begleite dich zur Tür
I wonder if	ich frage mich ob
I wonder that	ich wundere mich dass
I won't trouble you again	ich werde Sie nicht mehr stören
jacket	Jackett
jam	Marmelade
January	Januar
Japanese	japanisch
Japan	Japan
jaw	Rachen
jealous	eiferssüchtig
jealousy	Eifersucht
jet plane	Düsenflugzeug
jet	scharfer Strahl
jewel	Juwel
job	Tätigkeit
joint action	gemeinsame Handlung
jointly	zusammenwirkend
joint	Verbindung
joke	scherzen
journey	Reise
joy	Freude
joyful	freudig
judge	urteilen
judgment	Urteil
juice	Saft
juicy	saftig
July	Juli
jump	springen
June	Juni
just	gerecht
justice	Gerechtigkeit
just what I need	gerade was ich brauche
keen	scharf
keep a promise	ein Versprechen halten
keep a secret	ein Geheimnis bewahren
keep a servant	einen Dienstboten halten
keep company	Gesellschaft leisten
keeper	Wärter
keep friendly	freundlich bleiben
keep house	den Haushalt führen
keep (irr.)	behalten
keep off the grass	Rasen nicht betreten
keep on trying	versuche es immer wieder
keep somebody waiting	jemanden warten lassen
keep up	aufrechterhalten
keep watch	halte Ausschau
keep yourself clean	halte dich sauber
kept	behielt
kettle	Kessel
keyboard	Tastatur
key	Schlüssel
kick	Tritt
kid	Zicklein
kill	töten
kilogram	Kilogramm
kilo	Kilo
kilometer	Kilometer
kind	Beschaffenheit
kingdom	Königreich
king	König
kiss	küssen
kitchen	Küche
knee	Knie
kneel (irr.)	knien
knelt	kniete
knew	wusste
knife (irr.)	Messer
knight	Ritter
knit (irr.)	stricken
knit	strickte
knives	Messer (pl.)
knock down	niederschlagen
knock	Klopfen
knot	knoten
know (irr.)	wissen
knowledge	Wissen
labour	Arbeit (Anstrengung)
labour exchange	Arbeitsvermittlung
lacking	fehlend
lack	Mangel
ladder	Leiter
lady	Dame
laid	legte
lain	gelegen (perf.)
lake	der See
lamb	Lamm
lame	lahm
lamp	Lampe
landing	Landung
land	landen
landlord	Hausherr
language	Sprache
largely	weitgehend
large	umfangreich
last	zuletzt
lately	in der letzten Zeit
later on	später
latest	neuester
late	zu spät
latter	letzterer
laughable	lächerlich
laugh	Lachen
laughter	Gelächter
laundry	Wäscherei
lavatory	Toilette
lawful	rechtmäßig
lawless	gesetzlos
law	Recht
lawyer	Jurist
lay (irr.)	legen
lay	lag
lazy	träge
lead	Blei
leader	Leitartikel
leading	führend
lead (irr.)	führen
leaf (irr.)	Blatt
leafless	blattlos
leaflet	Handzettel
leaning	Neigung
lean (irr.)	sich neigen
lean	mager
leant	lehnte an
learn by experience	aus Erfahrung lernen
learned	gelehrt (adj.)
learn (irr.)	lernen
learnt	lernte
least	geringster
leather	Leder
leave behind	zurücklassen
leave for	abreisen nach
leave (iir.)	verlassen
leave (irr.)	zurücklassen
leave me alone	laß mich allein
leave off	weglassen
leave out	auslassen
leaves	Blätter
leave the work to me	überlasse mir die Arbeit
leave	Urlaub (Militär)
led	geführt
left-handed	linkshändig
left over	übrig gelassen
left	verließ
legal expenses	Gerichtskosten
leg	Bein
leisure	Muße
lemon	Zitrone
lend (irr.)	verleihen
length	Länge
lent	lieh aus
lessening	Minderung
lessen	vermindern
lesson	Unterrichtsstunde
less	weniger
let a house	ein Haus vermieten
let fall	fallen lassen
let fly	fliegen lassen
let in	hereinlassen
let (irr.)	lassen
let	ließ
let out	preisgeben
letterbox	Briefkasten
letter	Buchstabe
letter-post	Briefpost
lettuce	Kopfsalat
level	Niveau
liberty	Freiheit
librarian	Bibliothekar
library	Bibliothek
lid	Lid
lie (irr.)	liegen
lie	lügen
life-boat	Rettungsboot
life	Leben
lifeless	leblos
life-size	in Lebensgröße
lift	hochheben
light a fire	ein Feuer anzünden
lighter	Feuerzeug
light gray	hellgrau
light-hearted	leichten Herzens
light-house	Leuchtturm
lighting	Beleuchtung
light (irr.)	anzünden
light	Licht
lightning	Blitz
likely	wahrscheinlich
like	mögen
limb	Glied des Körpers
limitation	Begrenzung
limited company	Gesellschaft mit beschränkter Haftung
limit	Grenze
line	Zeile
link	verknüpfen
lion	Löwe
lip	Lippe
lipstick	Lippenstift
liquid	Flüssigkeit
listener	Hörer
listen (to)	zuhören
list	Liste
literary	literarisch
literature	Literatur
little more than	wenig mehr als
little	wenig
lit	zündete an
live fish	lebender Fisch
lives	Leben (pl.)
live	wohnen
living	Lebensunterhalt
living room	Wohnzimmer
load	Last
loan	Darlehen
local call	Ortsgespräch
locally	örtlich
local	örtlich
lock	Türschloß
lodging(s)	Unterkunft
log of wood	Holzscheit
